student_id,degree,branch,year,specialization_track,target_role,sector,goal,cgpa,attendance,backlogs,study_hours,self_learning_hours,sleep_hours,screen_time,internal_marks,programming_score,dsa_score,sql_score,math_foundation_score,ai_tool_fluency_score,aptitude_score,communication_score,english_proficiency_score,projects_count,hackathons_count,certifications_count,internships_count,open_source_contributions,research_publications_count,cloud_deployment_score,github_activity_score,linkedin_activity_score,portfolio_website_score,interview_practice_score,resume_score,ats_score,academic_score,academic_category,employability_score,placement_probability
11,M.Tech/M.E.,Electronics & Communication,3,Robotics,Conversational AI Engineer,GenAI Startups,Freelance/Remote Work,6.94,87.9,1,8.0,5.5,7.6,5.2,73.8,68.9,55.7,52.1,64.2,66.4,67.1,57.4,61.0,6,4,3,3,0,1,37.8,49.4,70.0,56.5,53.3,46.6,19.0,70.1,Good,61.4,0.8905
12,B.Tech/B.E.,Mathematics & Computing,2,Computer Vision,Analytics Engineer,Freelance/Remote-Global,Freelance/Remote Work,7.1,95.7,0,6.8,3.2,7.8,4.9,76.8,80.0,57.0,55.7,54.9,64.3,50.1,52.6,54.0,6,0,2,0,1,1,50.3,55.4,45.6,40.1,48.4,44.6,65.3,80.8,Good,51.8,0.5452
13,M.Tech/M.E.,Mathematics & Computing,1,NLP,Data Analyst,Research Labs/Academia,Higher Studies/Research,5.58,71.3,4,3.6,0.7,6.5,3.5,62.3,48.9,24.8,46.7,8.2,23.6,38.0,40.2,57.9,4,0,1,1,1,0,34.1,50.4,26.7,10.2,31.3,25.1,44.6,52.8,At-Risk,18.2,0.0515
14,B.Tech/B.E.,Civil Engineering,2,NLP,Data Analyst,Consulting,Government Exams,7.7,80.1,0,5.4,2.4,7.9,4.1,80.6,70.4,60.3,69.1,57.6,48.7,79.3,46.1,46.9,6,4,2,0,1,0,48.9,46.7,50.1,42.6,41.9,43.7,83.2,79.7,Good,50.6,0.4265
15,B.Tech/B.E.,Information Technology,2,Computer Vision,AI Research Scientist,Research Labs/Academia,Entrepreneurship/Startup,5.37,61.6,3,0.6,3.6,5.7,2.5,63.6,77.2,59.2,51.3,55.0,59.7,78.5,57.7,63.0,4,2,2,2,2,0,49.9,68.6,57.6,34.7,33.1,47.4,54.3,55.9,At-Risk,34.0,0.0761
16,B.Tech/B.E.,Information Technology,2,MLOps,Data Engineer,Analytics/Data Services,Higher Studies/Research,7.46,75.3,0,4.7,3.6,6.3,5.1,65.6,54.4,68.0,52.5,64.1,67.8,79.0,38.2,55.6,4,5,3,3,1,0,59.1,60.3,61.2,44.4,51.9,50.6,64.9,76.1,Good,49.0,0.2439
17,MCA,Computer Science,4,Data Engineering,AI Solutions Architect,Autonomous Systems/Robotics,Entrepreneurship/Startup,7.99,88.4,1,5.2,3.1,7.6,5.7,77.3,58.8,52.7,40.2,48.2,34.1,50.0,54.9,66.1,5,2,4,1,1,0,46.0,46.7,30.5,27.7,46.8,43.7,58.9,78.8,Good,46.5,0.4369
18,BCA,Robotics,3,NLP,Computer Vision Engineer,Autonomous Systems/Robotics,Higher Studies/Research,6.88,69.5,1,5.5,4.4,6.3,3.7,69.2,53.2,45.0,44.8,63.5,49.1,56.4,66.6,66.0,4,3,1,1,3,0,21.6,29.5,53.4,39.2,44.7,39.2,12.6,68.6,Average,47.4,0.3533
19,B.Tech/B.E.,Pharmacy,2,MLOps,Reinforcement Learning Engineer,Research Labs/Academia,Higher Studies/Research,8.33,68.2,0,3.2,2.9,7.1,5.3,79.0,74.2,77.2,67.2,57.1,64.7,67.3,34.6,60.2,4,1,3,0,2,2,54.4,64.0,34.7,44.9,46.5,36.1,36.5,78.2,Good,48.0,0.2684
20,B.Tech/B.E.,Mechanical Engineering,3,Robotics,Data Analyst,Research Labs/Academia,Freelance/Remote Work,6.32,82.6,0,5.8,2.2,5.9,5.5,56.9,55.9,43.8,52.2,55.6,42.2,68.1,75.8,64.8,3,1,2,2,1,0,52.1,56.5,66.6,46.7,61.3,33.8,40.9,61.8,Average,47.8,0.2893
21,B.Tech/B.E.,Food Technology,1,MLOps,Software Engineer Backend,Core Product Engineering,Higher Studies/Research,7.97,94.7,0,5.9,2.2,7.8,4.9,75.3,59.1,28.1,64.1,26.4,27.2,64.4,61.8,56.0,1,2,2,2,0,0,57.0,46.8,31.0,28.3,49.6,27.4,39.3,78.4,Good,44.6,0.2366
22,M.Tech/M.E.,Chemistry,2,Robotics,Reinforcement Learning Engineer,Analytics/Data Services,Higher Studies/Research,6.91,83.9,0,3.0,2.7,6.3,4.3,72.6,66.2,62.7,66.0,50.8,55.3,59.7,69.7,69.6,4,1,2,1,1,2,45.2,52.1,44.6,43.9,50.2,37.1,72.5,71.3,Good,41.5,0.1195
23,BS (Data Science & AI),Electronics & Communication,2,Robotics,Reinforcement Learning Engineer,Research Labs/Academia,Higher Studies/Research,8.14,90.1,0,4.3,4.1,6.2,4.9,82.8,69.6,76.6,71.7,56.9,70.5,74.0,63.3,63.2,4,1,3,1,3,1,53.4,63.0,71.6,30.5,67.9,49.1,69.3,84.6,Excellent,56.5,0.4332
24,MSc,Agricultural Engineering,3,Computer Vision,Prompt Engineer,GenAI Startups,Career Switch/Upskilling,5.09,68.8,4,2.5,2.1,6.3,5.5,52.6,39.6,26.6,55.6,30.2,32.3,46.3,71.7,65.5,1,2,3,1,1,0,49.3,47.5,49.0,36.2,23.1,34.2,22.1,41.9,At-Risk,37.7,0.5724
25,B.Tech/B.E.,AI & Data Science,4,Robotics,AI/ML Engineer,AI/ML Product Companies,Entrepreneurship/Startup,6.17,69.6,1,2.9,0.0,5.6,4.9,58.2,61.8,42.5,61.1,44.7,41.7,52.2,37.0,60.9,0,0,1,1,1,0,35.0,51.9,47.2,24.9,45.7,33.3,40.8,63.6,Average,39.9,0.6352
26,BCA,Mathematics & Computing,4,Robotics,AI Trainer RLHF Specialist,AI/ML Product Companies,Job Placement,5.15,51.1,4,3.0,3.9,6.4,4.1,59.9,45.3,45.1,44.8,31.9,50.2,53.1,44.2,48.7,6,4,2,2,4,1,31.4,38.7,61.6,21.5,24.9,37.3,47.4,43.4,At-Risk,31.3,0.1485
27,PhD,Environmental Engineering,1,NLP,Data Scientist,Analytics/Data Services,Higher Studies/Research,6.7,77.9,2,3.5,3.3,5.9,5.9,69.7,68.6,57.4,55.1,57.0,58.4,56.3,88.5,86.5,4,2,3,0,5,0,62.4,59.4,46.2,29.1,39.1,32.8,62.3,73.1,Good,46.9,0.5731
28,BCA,Information Technology,4,Computer Vision,Conversational AI Engineer,AI/ML Product Companies,Government Exams,7.09,77.7,1,5.0,3.1,6.7,4.4,67.9,78.3,89.5,73.4,53.8,73.4,47.1,54.2,76.9,5,1,0,1,6,1,61.3,63.5,44.6,26.1,50.2,49.2,50.6,65.9,Average,47.6,0.467
29,MCA,Information Technology,1,Generative AI,AI/ML Engineer,HealthTech,Career Switch/Upskilling,5.36,79.9,0,3.5,1.6,7.2,4.5,48.9,63.5,33.3,58.1,47.6,64.6,32.5,71.8,73.1,1,0,3,2,2,1,53.3,59.8,75.8,40.9,33.7,45.2,54.6,56.1,At-Risk,41.3,0.8339
30,MSc,AI & Data Science,2,NLP,Prompt Engineer,GenAI Startups,Career Switch/Upskilling,6.75,68.1,1,1.2,2.9,6.0,5.7,61.1,64.2,62.5,59.9,45.1,51.9,64.2,54.6,70.2,3,1,2,1,2,1,11.7,41.8,44.1,16.4,37.1,41.9,42.1,64.9,Average,40.7,0.4141
31,M.Tech/M.E.,Environmental Engineering,1,Applied Research,AI/ML Engineer,AI/ML Product Companies,Job Placement,6.52,64.4,2,1.8,4.9,4.9,7.1,69.0,60.4,80.4,66.1,48.6,42.0,57.7,49.1,61.3,5,1,0,2,3,0,56.6,52.7,33.4,25.3,20.2,41.8,58.5,58.9,Average,33.8,0.3224
32,B.Tech/B.E.,Pharmacy,1,MLOps,AI Ethics Specialist,FinTech,Government Exams,6.0,63.7,4,3.0,3.8,5.6,4.4,62.4,75.4,58.4,48.4,29.0,33.8,42.1,55.4,67.8,4,0,1,1,5,0,45.9,71.1,48.0,41.9,39.2,41.0,63.1,47.6,At-Risk,41.6,0.0803
33,B.Tech/B.E.,Aerospace Engineering,2,Data Engineering,Robotics Engineer,Autonomous Systems/Robotics,Government Exams,6.89,83.8,1,2.4,2.6,8.2,5.0,65.5,59.2,52.8,39.3,31.0,52.0,45.3,65.6,57.2,1,0,0,1,0,0,53.4,57.6,44.1,11.6,53.3,33.0,48.0,74.0,Good,34.8,0.438
34,B.Tech/B.E.,Chemical Engineering,1,Generative AI,Reinforcement Learning Engineer,Analytics/Data Services,Freelance/Remote Work,7.78,92.0,0,5.0,4.0,6.4,3.0,72.7,79.5,82.3,80.3,55.5,64.7,67.6,39.8,49.2,5,2,2,2,5,0,64.2,69.7,51.5,45.6,51.4,47.7,69.5,85.0,Excellent,47.4,0.3455
35,B.Tech/B.E.,Electronics & Communication,3,Computer Vision,AI Research Scientist,Consulting,Freelance/Remote Work,5.57,75.7,3,3.4,3.3,7.4,3.5,53.7,65.0,45.6,54.7,28.2,39.2,46.7,60.4,61.4,3,0,2,3,0,0,33.6,50.7,45.6,40.9,50.1,43.0,64.4,40.9,At-Risk,40.7,0.253
36,BS (Data Science & AI),Economics,3,MLOps,AI Ethics Specialist,Government/PSU,Government Exams,5.38,70.9,1,2.7,3.4,6.1,4.6,59.4,62.6,51.5,47.0,49.8,32.6,59.1,29.2,59.1,3,3,0,1,3,1,33.4,46.4,40.8,29.6,28.7,31.7,26.8,57.9,Average,40.9,0.0715
37,BCA,Mathematics & Computing,4,MLOps,Applied Scientist,Consulting,Job Placement,7.63,91.8,0,6.2,2.7,6.4,2.9,77.5,70.4,84.0,55.0,53.7,54.8,55.4,81.4,60.4,5,4,3,2,4,1,51.0,42.6,62.9,51.4,56.4,49.8,55.8,77.9,Good,56.1,0.4386
38,MSc,Statistics,2,Data Engineering,Reinforcement Learning Engineer,Research Labs/Academia,Entrepreneurship/Startup,5.58,59.0,2,0.9,1.5,5.9,7.3,63.4,50.0,62.5,50.3,50.4,50.8,53.4,47.1,46.0,1,0,0,1,2,3,64.8,38.3,33.0,10.8,21.6,26.6,31.9,48.6,At-Risk,35.7,0.0588
39,M.Tech/M.E.,Statistics,1,Applied Research,Conversational AI Engineer,GenAI Startups,Government Exams,5.48,49.4,5,3.2,0.0,6.2,5.8,52.6,40.9,43.3,50.3,34.1,35.0,44.9,87.5,81.7,2,0,1,0,1,0,40.9,53.8,30.6,19.5,33.2,26.4,40.4,38.0,At-Risk,25.8,0.3083
40,MSc,Mechanical Engineering,1,MLOps,Cloud DevOps Engineer,Core Product Engineering,Government Exams,7.12,68.1,1,3.7,2.8,6.2,6.9,64.9,62.4,63.1,68.8,47.8,42.4,47.3,28.4,38.0,3,1,1,1,1,1,53.7,48.6,33.8,36.5,47.2,31.5,61.0,60.6,Average,47.5,0.4394
41,B.Tech/B.E.,Chemistry,4,Classical ML,Reinforcement Learning Engineer,Research Labs/Academia,Higher Studies/Research,7.62,67.8,0,5.2,1.3,6.6,2.6,72.1,43.9,51.7,42.1,61.3,53.9,52.8,45.9,46.9,2,0,0,1,0,1,33.4,52.8,46.1,26.7,46.4,27.0,39.7,73.6,Good,38.4,0.1761
42,M.Tech/M.E.,Statistics,2,Computer Vision,NLP Engineer,GenAI Startups,Career Switch/Upskilling,6.21,88.8,3,6.8,3.8,6.3,3.7,68.4,78.4,79.9,73.6,16.0,63.6,42.8,69.1,72.5,6,1,3,1,3,0,59.9,94.5,63.0,64.9,52.4,53.1,71.4,58.0,At-Risk,53.4,0.6889
43,BCA,Computer Science,2,Generative AI,AI Research Scientist,Research Labs/Academia,Freelance/Remote Work,6.93,87.7,1,2.3,3.5,7.7,5.7,69.7,57.5,54.8,55.2,48.2,53.1,61.2,60.4,63.3,2,2,3,2,3,1,52.2,56.0,50.6,36.4,68.0,39.9,42.3,73.7,Good,47.6,0.1654
44,BS (Data Science & AI),Aerospace Engineering,2,Computer Vision,Data Analyst,Analytics/Data Services,Freelance/Remote Work,5.47,77.4,4,1.9,0.3,6.9,2.0,59.9,55.3,60.5,54.2,45.2,43.7,49.2,45.3,44.9,3,0,2,1,2,1,34.7,35.2,25.8,30.6,43.2,34.3,35.4,55.8,At-Risk,27.2,0.1729
45,BCA,Electronics & Communication,2,Generative AI,MLOps Engineer,FinTech,Higher Studies/Research,5.27,71.5,1,1.1,0.0,6.1,5.3,46.3,21.1,15.4,17.4,18.7,20.2,41.3,43.1,56.4,1,1,1,0,0,0,19.9,24.2,37.4,20.7,24.7,18.5,28.6,49.0,At-Risk,16.5,0.1483
46,MCA,Robotics,3,NLP,AI Research Scientist,GenAI Startups,Entrepreneurship/Startup,6.34,72.7,2,3.4,3.6,6.7,5.4,57.2,58.4,49.2,54.8,72.5,52.6,58.6,61.0,59.6,6,1,2,1,0,3,53.2,52.2,56.9,32.8,36.9,51.7,58.0,55.3,At-Risk,42.2,0.3153
47,BS (Data Science & AI),Metallurgical Engineering,2,Computer Vision,Data Analyst,Consulting,Entrepreneurship/Startup,5.52,78.4,2,5.8,0.5,5.8,4.5,54.3,53.1,49.3,48.0,42.9,46.9,55.7,58.8,63.0,2,3,2,0,0,0,45.2,49.3,37.0,52.1,43.4,35.7,33.9,50.7,At-Risk,40.5,0.2641
48,MSc,Civil Engineering,1,Robotics,Software Engineer Full Stack,Freelance/Remote-Global,Government Exams,7.96,87.2,0,6.9,5.5,8.1,3.6,77.8,69.5,61.0,58.5,54.2,69.5,58.8,78.3,71.7,4,3,4,2,6,1,59.5,50.6,46.8,67.3,53.3,45.5,56.4,80.5,Good,50.9,0.3224
49,BCA,Computer Science,1,NLP,Reinforcement Learning Engineer,Research Labs/Academia,Entrepreneurship/Startup,6.3,62.5,5,3.0,1.8,6.7,6.2,62.7,55.2,31.4,51.0,48.3,38.6,56.1,42.6,47.7,0,0,3,0,0,1,42.1,56.7,38.4,28.2,39.6,31.8,68.3,55.1,At-Risk,20.0,0.0394
50,MSc,Information Technology,2,NLP,Analytics Engineer,FinTech,Freelance/Remote Work,8.18,69.1,0,2.5,1.3,6.7,6.0,80.2,60.9,59.5,59.5,70.6,25.5,73.7,54.0,52.0,1,0,2,0,0,0,10.7,50.7,26.9,22.5,21.6,23.2,50.2,78.0,Good,38.3,0.2973
51,B.Tech/B.E.,Computer Science,2,Robotics,Software Engineer Backend,AI/ML Product Companies,Job Placement,5.7,65.2,5,2.2,0.8,7.5,4.2,52.7,52.0,67.8,64.9,39.0,15.1,40.4,51.8,44.3,0,0,1,0,0,0,22.8,34.8,22.5,8.5,25.6,17.9,40.1,48.7,At-Risk,17.9,0.03
52,MCA,AI & Data Science,3,Robotics,AI Research Scientist,Research Labs/Academia,Freelance/Remote Work,5.77,89.7,3,4.0,1.7,6.8,4.4,47.6,63.4,44.2,75.6,14.1,35.5,57.4,69.5,54.7,3,2,0,0,2,0,47.0,58.0,58.3,61.3,48.3,36.5,74.3,47.6,At-Risk,40.3,0.1144
53,BS (Data Science & AI),Textile Engineering,1,Robotics,Computer Vision Engineer,Autonomous Systems/Robotics,Entrepreneurship/Startup,7.28,81.8,1,3.8,3.8,5.8,4.6,74.1,70.3,53.1,42.6,44.8,41.4,55.1,46.4,50.9,3,1,2,2,2,0,43.9,49.6,49.3,41.3,39.7,40.2,25.7,74.0,Good,45.7,0.4386
54,M.Tech/M.E.,Biotechnology,1,Generative AI,Analytics Engineer,Analytics/Data Services,Career Switch/Upskilling,5.47,67.9,3,0.0,0.8,7.2,6.2,58.4,53.5,43.5,56.2,47.9,49.2,52.6,57.5,54.2,1,2,1,1,0,0,34.2,50.4,43.3,5.8,25.8,37.8,43.9,42.6,At-Risk,41.4,0.4073
55,MSc,Metallurgical Engineering,2,Classical ML,MLOps Engineer,Core Product Engineering,Job Placement,7.35,73.8,1,3.9,2.6,6.0,4.9,81.8,56.1,71.1,49.0,56.0,46.3,49.0,71.8,68.9,1,2,3,2,2,0,63.9,72.1,56.1,31.1,43.1,44.1,31.9,75.9,Good,58.3,0.7358
56,B.Tech/B.E.,Design,2,Computer Vision,Robotics Engineer,Autonomous Systems/Robotics,Career Switch/Upskilling,6.18,74.7,6,1.7,0.3,7.4,5.4,47.7,50.4,29.2,59.2,36.3,37.4,54.7,45.1,49.4,1,1,0,0,0,0,28.0,18.2,32.4,22.1,43.3,19.3,56.7,44.9,At-Risk,15.6,0.0941
57,B.Tech/B.E.,Automobile Engineering,1,Applied Research,Data Analyst,Freelance/Remote-Global,Career Switch/Upskilling,6.73,69.3,3,2.8,1.2,5.6,6.9,61.7,85.4,59.7,67.7,69.7,45.5,42.0,63.2,52.9,3,0,1,0,2,1,40.4,51.0,34.9,18.9,36.1,35.6,53.8,57.3,Average,40.2,0.163
58,BCA,Mathematics & Computing,1,NLP,AI Solutions Architect,Consulting,Entrepreneurship/Startup,6.93,73.7,0,2.4,0.9,7.7,2.5,65.3,41.1,47.5,52.5,63.4,45.0,62.0,49.3,60.2,0,1,1,1,1,0,33.9,43.3,10.0,25.1,41.0,26.4,48.3,68.8,Good,35.8,0.164
59,B.Tech/B.E.,Electronics & Communication,3,Classical ML,Generative AI Engineer,Autonomous Systems/Robotics,Entrepreneurship/Startup,6.65,71.8,3,3.5,0.5,6.4,7.9,80.0,39.9,51.2,45.0,45.6,52.7,67.8,70.6,63.3,1,1,2,0,0,1,46.0,28.0,47.9,31.3,46.9,32.1,32.4,56.3,At-Risk,31.3,0.471
60,MSc,Chemistry,4,Classical ML,Computer Vision Engineer,Research Labs/Academia,Job Placement,7.44,79.8,0,5.3,2.1,6.9,6.3,77.6,70.5,68.2,63.4,68.4,58.2,80.6,37.5,48.3,3,2,3,2,2,2,44.3,54.7,47.2,39.6,37.4,42.5,60.0,85.3,Excellent,43.5,0.3775
61,B.Tech/B.E.,Information Technology,2,Robotics,MLOps Engineer,AI/ML Product Companies,Job Placement,7.24,84.4,0,7.1,6.1,5.2,7.9,70.7,75.9,70.3,53.2,70.7,65.8,70.6,70.5,80.6,5,2,4,2,3,1,43.4,54.2,50.6,55.9,66.1,50.2,77.9,81.7,Good,58.6,0.7724
62,BCA,Mathematics & Computing,4,Generative AI,Generative AI Engineer,AI/ML Product Companies,Freelance/Remote Work,5.41,76.9,2,1.5,1.8,4.6,3.6,52.2,36.6,35.1,49.6,37.3,44.0,50.9,56.2,59.8,2,1,1,0,0,0,32.9,30.9,36.6,14.2,45.3,24.5,24.5,58.3,Average,29.4,0.2397
63,MSc,Physics,3,Classical ML,Reinforcement Learning Engineer,Research Labs/Academia,Higher Studies/Research,6.92,79.1,1,2.0,2.4,5.3,4.6,58.3,70.4,63.9,60.3,36.4,43.8,51.1,52.2,62.8,4,0,0,0,3,0,38.3,66.2,49.7,29.3,34.0,36.0,57.5,73.9,Good,44.8,0.3121
64,MCA,Information Technology,1,Computer Vision,Analytics Engineer,Analytics/Data Services,Entrepreneurship/Startup,5.18,68.1,3,5.6,2.0,7.2,5.2,52.0,28.8,20.5,41.7,24.7,40.4,32.0,91.0,66.4,4,1,2,0,0,0,45.8,33.4,64.2,38.4,51.0,28.4,58.3,46.0,At-Risk,29.7,0.0717
65,PhD,Metallurgical Engineering,2,Generative AI,Conversational AI Engineer,AI/ML Product Companies,Higher Studies/Research,6.84,62.2,1,0.9,0.0,7.2,5.8,56.1,30.0,59.6,51.5,48.1,17.5,60.5,36.5,38.1,0,0,0,0,0,0,36.3,33.2,22.5,3.7,12.5,18.5,52.2,60.1,Average,26.0,0.1426
66,B.Tech/B.E.,Electronics & Communication,1,Robotics,Data Engineer,Autonomous Systems/Robotics,Entrepreneurship/Startup,7.3,64.9,0,3.8,1.9,8.3,5.5,71.2,62.0,66.3,62.1,82.5,37.4,75.6,59.1,55.0,3,1,0,1,0,0,54.3,45.2,29.0,32.8,30.6,32.3,61.4,64.6,Average,42.4,0.4896
67,MCA,Electronics & Communication,1,Classical ML,Reinforcement Learning Engineer,Research Labs/Academia,Job Placement,8.27,78.4,0,4.3,0.5,5.5,3.9,79.3,47.7,58.6,54.7,66.4,35.6,58.4,40.4,50.2,0,0,2,1,0,1,33.1,29.9,35.2,6.4,38.1,30.7,37.6,80.9,Excellent,37.3,0.0984
68,BCA,Information Technology,4,NLP,Applied Scientist,AI/ML Product Companies,Government Exams,7.57,94.7,0,4.6,1.6,7.0,4.5,73.0,78.1,100.0,74.6,47.8,49.9,68.3,77.2,77.9,4,0,2,0,2,0,45.8,75.7,48.9,53.5,52.4,50.2,51.2,84.0,Excellent,53.4,0.8177
69,B.Tech/B.E.,Commerce,4,NLP,Computer Vision Engineer,AI/ML Product Companies,Higher Studies/Research,6.52,72.0,3,3.3,3.0,7.3,4.9,75.3,67.9,55.1,60.7,60.2,65.6,58.7,40.2,53.0,5,1,3,2,0,1,72.5,64.4,58.0,35.3,30.6,40.7,57.1,59.5,Average,41.9,0.5128
70,BS (Data Science & AI),Mathematics & Computing,4,Classical ML,AI/ML Engineer,GenAI Startups,Job Placement,6.57,68.8,0,3.1,1.7,5.6,3.7,72.7,43.7,52.8,44.9,54.2,53.2,56.6,53.2,55.5,3,0,1,1,0,1,48.7,31.1,43.1,0.0,30.3,28.4,30.8,74.0,Good,38.0,0.6046
71,MCA,AI & Data Science,4,Classical ML,Computer Vision Engineer,Analytics/Data Services,Freelance/Remote Work,6.99,74.7,2,3.9,3.8,6.0,5.9,68.3,46.5,34.3,48.0,65.3,80.4,61.0,66.0,84.4,4,3,3,1,0,1,46.8,41.6,53.6,46.8,53.8,39.0,33.5,71.3,Average,49.2,0.2755
72,PhD,Design,3,Robotics,Analytics Engineer,FinTech,Entrepreneurship/Startup,7.49,74.5,0,4.0,0.6,5.2,4.6,78.6,74.5,68.2,48.4,62.0,49.4,66.9,71.3,64.5,2,0,2,0,0,0,37.1,44.0,32.3,35.0,40.1,25.3,52.8,71.3,Good,46.4,0.2787
73,BCA,Mathematics & Computing,1,NLP,Data Analyst,Consulting,Career Switch/Upskilling,6.18,80.5,2,4.6,2.7,6.1,3.1,59.1,52.4,33.9,51.9,34.8,58.9,55.5,60.0,64.5,1,1,3,2,0,1,31.0,40.0,54.5,55.5,50.9,39.1,17.3,50.6,At-Risk,40.7,0.2099
74,B.Tech/B.E.,Physics,4,Data Engineering,Generative AI Engineer,Analytics/Data Services,Government Exams,8.48,92.0,0,2.6,3.8,6.3,5.0,73.8,69.4,61.8,63.4,74.2,72.6,88.8,65.0,72.2,3,2,2,1,3,1,47.2,39.1,50.9,56.6,53.8,49.0,49.2,84.5,Excellent,49.2,0.641
75,BS (Data Science & AI),AI & Data Science,2,Data Engineering,AI Ethics Specialist,Research Labs/Academia,Freelance/Remote Work,7.26,73.3,2,5.9,2.9,6.1,6.0,76.3,54.1,45.6,55.2,56.9,46.7,56.8,42.1,46.5,2,2,3,2,0,0,48.4,38.0,52.6,26.3,59.2,40.4,33.4,69.7,Average,50.7,0.2305
76,BS (Data Science & AI),Textile Engineering,2,Applied Research,Software Engineer Full Stack,Core Product Engineering,Job Placement,6.71,88.5,1,4.4,0.4,5.9,6.6,70.9,34.1,24.2,49.8,61.7,43.2,61.8,52.7,60.1,0,2,2,1,0,0,39.1,37.2,46.2,23.4,40.4,33.4,47.7,67.3,Average,39.9,0.1053
77,B.Tech/B.E.,Design,2,Computer Vision,Data Analyst,Analytics/Data Services,Entrepreneurship/Startup,8.57,98.5,0,6.5,4.0,7.4,5.4,82.6,66.4,56.5,50.8,68.5,63.8,68.9,38.9,64.1,6,2,3,2,5,1,52.5,49.0,39.9,35.8,72.7,52.4,61.3,86.1,Excellent,64.1,0.6914
78,MCA,Information Technology,1,NLP,NLP Engineer,GenAI Startups,Government Exams,6.18,59.8,0,1.8,1.3,6.9,6.9,54.3,91.9,75.4,75.1,45.8,58.8,68.3,74.7,86.6,5,0,2,2,5,1,55.5,69.7,44.9,36.0,38.1,56.3,75.1,52.3,At-Risk,46.0,0.8644
