degree,branch,year,cgpa,attendance,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,certifications_count,github_activity_score,linkedin_activity_score,programming_score,sql_score,dsa_score,communication_score,aptitude_score,internships_count,resume_score,ats_score,goal,target_role,academic_score,academic_category,employability_score,placement_probability,sector
B.Tech,IT,2,7.32,86,2.6,1.9,5.9,6.3,83,90,0,2,2,6,45,43,58,34,57,43,53,0,54,55,Higher Studies,Business Analyst,64.9,Average,41.1,49.4,Tech
B.Tech,AI&DS,3,8.07,97,2.5,0.0,9.0,6.7,91,100,0,1,0,0,40,40,43,46,32,67,77,1,41,46,Placement,Business Analyst,64.1,Average,41.7,39.4,Tech
BCA,General,1,8.46,52,3.4,3.3,5.2,5.4,95,99,0,4,3,4,100,29,60,62,48,47,63,0,76,74,Entrepreneurship,ML Engineer,81.1,Good,55.0,57.6,Tech
B.Tech,IT,2,8.89,86,6.2,3.0,7.1,7.2,96,85,0,5,3,4,100,52,78,47,55,64,46,1,70,64,Placement,Business Analyst,94.0,Excellent,60.8,62.9,Tech
B.Tech,IT,4,6.31,63,3.8,1.7,7.8,9.9,84,93,0,4,3,0,62,62,70,58,61,48,66,0,55,50,Government Exam,Business Analyst,60.3,Average,50.7,51.1,Tech
BCA,General,3,7.74,83,2.5,2.3,6.0,6.9,92,86,1,5,4,2,100,53,73,53,43,62,61,2,74,77,Placement,Business Analyst,65.4,Average,64.3,58.7,Tech
B.Tech,ECE,2,7.19,82,2.3,2.1,6.3,8.2,86,91,0,3,2,4,48,40,59,76,56,69,84,1,76,72,Placement,Business Analyst,63.3,Average,58.5,69.7,Tech
B.Tech,IT,2,8.74,64,4.4,0.1,7.9,3.6,95,91,0,3,2,4,42,70,55,77,35,81,43,0,62,65,Higher Studies,Software Engineer,80.1,Good,48.5,58.0,Tech
B.Tech,CSE,3,8.42,81,6.8,4.1,6.0,7.6,100,79,0,7,3,6,82,63,98,75,67,55,70,2,86,83,Government Exam,Data Analyst,97.9,Excellent,74.7,72.9,Tech
BCA,General,2,7.55,68,4.8,2.8,8.9,7.0,84,89,1,4,1,6,81,36,72,65,64,49,68,1,72,72,Government Exam,Software Engineer,69.4,Average,59.7,56.1,Tech
BBA,Finance,3,7.74,64,5.9,2.3,7.1,8.2,88,98,0,4,4,2,100,51,62,88,50,67,48,2,78,84,Higher Studies,Data Analyst,79.7,Good,51.3,58.3,Management
B.Tech,IT,1,7.57,51,5.1,2.3,6.6,5.2,80,80,0,3,2,4,65,52,73,80,50,76,64,0,61,56,Placement,Data Analyst,76.4,Good,55.4,63.7,Tech
BCA,General,4,7.71,88,2.2,3.3,8.6,8.0,84,85,2,8,7,5,100,90,99,83,64,55,60,0,78,77,Entrepreneurship,ML Engineer,63.7,Average,69.6,66.9,Tech
BCA,General,2,8.06,73,5.4,0.6,5.9,4.6,90,100,0,1,0,2,59,44,57,55,72,71,70,1,54,51,Placement,ML Engineer,74.9,Average,51.5,54.8,Tech
B.Tech,AI&DS,2,7.28,59,2.8,1.4,8.7,8.3,89,95,1,4,2,3,68,59,57,67,42,45,48,1,68,76,Government Exam,ML Engineer,56.9,Average,52.0,53.8,Tech
BCA,General,3,7.47,75,3.9,2.8,6.0,8.4,95,93,0,6,4,1,100,58,82,58,61,62,95,2,75,67,Higher Studies,ML Engineer,76.8,Good,71.6,65.4,Tech
B.Tech,AI&DS,3,6.94,75,3.4,3.8,8.3,3.8,92,89,1,6,4,6,82,70,69,72,45,73,52,2,96,91,Placement,ML Engineer,70.5,Average,69.7,64.8,Tech
B.Tech,AI&DS,1,8.85,61,4.3,0.0,8.9,6.7,100,96,0,0,1,2,23,16,51,52,28,62,63,0,50,54,Placement,Software Engineer,71.3,Average,37.4,38.5,Tech
Law,Corporate,3,7.64,62,4.1,3.7,6.9,5.6,83,82,0,8,5,5,100,88,87,57,67,61,61,2,91,100,Placement,Software Engineer,86.8,Good,56.7,55.7,Law
Law,Corporate,2,7.87,85,3.9,1.7,6.9,7.0,86,85,2,4,3,5,68,41,63,81,68,73,95,1,85,82,Placement,Business Analyst,59.5,Average,55.8,61.9,Law
B.Com,General,4,8.1,75,4.1,2.2,6.7,6.1,85,99,0,6,3,6,84,77,82,69,65,47,83,1,81,81,Placement,Software Engineer,83.0,Good,50.3,57.9,Commerce
B.Tech,CSE,4,8.14,65,4.9,2.5,6.2,5.6,100,89,0,6,4,3,85,48,73,60,51,70,87,1,94,93,Placement,Software Engineer,86.5,Good,69.1,72.0,Tech
B.Tech,AI&DS,2,7.22,69,4.1,1.2,7.1,4.8,92,73,1,1,0,8,33,56,43,63,20,71,45,1,71,75,Placement,ML Engineer,57.7,Average,44.8,47.5,Tech
BBA,Marketing,4,8.17,67,4.2,1.0,7.9,8.9,100,91,0,5,3,4,100,57,66,77,55,78,69,3,91,98,Higher Studies,Business Analyst,76.4,Good,61.7,63.2,Management
B.Tech,AI&DS,2,9.59,54,7.5,2.7,7.6,4.5,94,84,0,3,1,1,54,41,63,60,45,41,73,1,74,76,Government Exam,Software Engineer,99.3,Excellent,52.8,51.2,Tech
B.Tech,ECE,1,8.89,85,6.1,4.8,7.5,4.9,98,89,0,6,4,7,78,62,95,72,92,49,74,0,67,62,Placement,Software Engineer,100.0,Excellent,64.7,69.5,Tech
BCA,General,4,7.99,69,3.8,1.4,6.3,3.5,96,77,1,6,4,6,87,88,81,99,41,56,43,3,100,95,Placement,Business Analyst,73.9,Average,74.7,69.0,Tech
B.Tech,AI&DS,3,8.32,70,4.7,1.4,5.9,7.7,84,91,0,5,4,3,70,66,82,67,57,69,68,1,67,70,Placement,Data Analyst,80.7,Good,62.6,64.0,Tech
Law,Corporate,2,7.74,79,4.5,1.0,8.8,8.1,88,90,2,4,0,0,77,23,81,48,50,54,63,0,50,54,Higher Studies,ML Engineer,57.8,Average,35.9,37.7,Law
B.Tech,IT,2,7.57,87,4.6,2.2,5.7,6.8,93,98,0,2,2,3,33,38,61,78,43,68,66,1,55,51,Government Exam,Software Engineer,72.9,Average,50.2,54.9,Tech
BBA,Marketing,2,9.43,76,4.5,1.3,6.8,4.5,86,100,1,1,1,2,49,54,62,58,51,62,83,1,45,45,Higher Studies,Software Engineer,75.4,Good,39.0,40.9,Management
B.Tech,ECE,4,9.11,62,4.6,1.3,7.8,2.6,100,92,1,6,5,1,76,68,74,40,53,84,65,2,85,91,Government Exam,Business Analyst,84.9,Good,68.4,72.4,Tech
BCA,General,1,7.36,69,4.1,2.8,8.5,7.1,93,80,0,2,2,4,76,53,52,28,42,75,61,0,55,53,Higher Studies,Software Engineer,69.8,Average,45.7,43.3,Tech
BCA,General,2,8.53,71,3.6,0.8,7.0,7.8,88,95,0,2,2,5,55,41,42,68,33,83,58,0,50,51,Higher Studies,ML Engineer,71.8,Average,44.8,44.2,Tech
B.Tech,CSE,2,8.35,51,3.9,4.4,7.3,5.0,94,79,0,6,2,3,73,66,76,81,67,80,43,0,79,83,Placement,Software Engineer,88.7,Good,63.5,66.3,Tech
Law,Criminal,2,7.41,78,1.9,1.1,6.5,6.1,92,97,0,3,2,2,59,35,54,72,36,61,66,1,64,58,Government Exam,Data Analyst,63.5,Average,44.1,46.5,Law
BBA,Finance,2,9.47,83,5.5,3.9,8.7,2.9,100,100,0,5,4,10,100,45,79,77,58,73,71,0,74,82,Entrepreneurship,ML Engineer,100.0,Excellent,48.6,54.2,Management
Law,Corporate,1,8.28,75,5.2,4.9,8.4,4.4,94,83,0,6,1,5,91,60,74,75,85,55,69,0,79,83,Higher Studies,Data Analyst,94.7,Excellent,47.2,51.4,Law
B.Com,General,1,8.65,63,7.5,3.9,6.0,6.8,96,87,0,3,2,3,37,22,79,67,61,71,48,0,53,52,Government Exam,Business Analyst,93.4,Excellent,38.1,47.6,Commerce
BCA,General,2,8.12,75,2.7,3.8,7.7,5.8,99,86,0,7,3,6,100,51,85,75,81,51,74,1,89,92,Placement,ML Engineer,84.6,Good,72.7,67.9,Tech
Law,Criminal,4,6.72,85,3.9,3.5,6.9,6.4,91,82,0,7,6,2,100,79,78,75,58,85,77,2,85,85,Entrepreneurship,Software Engineer,77.5,Good,61.9,63.4,Law
B.Tech,IT,1,8.36,70,6.3,2.8,7.3,8.3,100,93,0,3,2,3,45,16,66,68,42,59,70,0,49,51,Placement,ML Engineer,84.0,Good,47.4,56.9,Tech
B.Tech,CSE,3,6.8,84,5.0,3.9,6.2,3.5,90,82,2,5,3,7,86,56,91,80,55,76,83,2,94,97,Placement,ML Engineer,65.3,Average,76.0,82.1,Tech
B.Tech,CSE,3,8.69,79,6.9,2.2,5.0,6.4,100,95,0,5,3,0,90,72,77,76,60,63,91,0,75,81,Placement,ML Engineer,93.6,Excellent,64.0,66.7,Tech
B.Tech,ECE,4,8.75,51,6.7,3.5,5.9,4.6,100,90,0,8,5,4,98,62,79,70,58,78,81,3,90,88,Entrepreneurship,Data Analyst,100.0,Excellent,80.6,81.3,Tech
B.Tech,CSE,4,8.49,66,1.0,3.8,6.4,5.6,100,100,0,7,4,0,72,65,81,50,73,64,81,2,83,89,Entrepreneurship,Business Analyst,81.8,Good,71.2,79.6,Tech
B.Tech,ECE,2,8.51,79,4.9,3.1,6.5,6.6,95,97,0,5,3,7,100,47,78,50,55,69,56,0,63,68,Entrepreneurship,ML Engineer,87.8,Good,58.2,60.0,Tech
B.Com,General,1,9.8,76,4.9,2.2,4.7,3.5,91,100,1,2,1,2,34,34,67,50,59,61,58,0,49,55,Government Exam,Software Engineer,84.0,Good,34.1,42.8,Commerce
B.Tech,CSE,2,6.61,85,4.5,3.1,7.3,4.7,93,85,1,2,1,4,54,12,67,80,70,71,46,1,78,83,Placement,ML Engineer,61.4,Average,58.0,66.5,Tech
B.Tech,CSE,2,7.67,76,3.8,2.1,5.6,5.2,94,96,2,3,2,3,41,38,45,81,56,50,55,1,59,52,Entrepreneurship,ML Engineer,58.0,Average,48.6,57.8,Tech
BCA,General,3,9.06,81,6.8,1.8,7.0,6.8,100,80,0,3,0,1,42,55,70,61,47,92,78,1,63,66,Entrepreneurship,Business Analyst,90.9,Excellent,57.7,70.5,Tech
B.Tech,AI&DS,3,8.94,68,4.5,3.4,5.8,8.2,92,94,0,6,5,6,100,89,88,72,71,64,90,1,87,83,Higher Studies,Software Engineer,90.1,Excellent,73.4,69.8,Tech
B.Com,Hons,4,6.8,77,1.0,2.7,5.2,2.7,74,94,0,8,6,4,100,100,100,61,75,66,73,3,100,91,Placement,Software Engineer,73.2,Average,64.1,67.6,Commerce
B.Tech,CSE,1,8.89,61,3.8,3.4,7.0,4.7,100,100,0,4,1,6,72,40,72,50,69,54,52,0,49,45,Higher Studies,Data Analyst,87.0,Good,50.3,49.3,Tech
Law,Corporate,4,6.99,84,7.6,2.7,6.8,5.7,85,89,2,5,4,5,67,71,70,72,55,63,60,1,83,75,Entrepreneurship,Software Engineer,69.7,Average,49.9,50.6,Law
BBA,Finance,2,6.91,76,2.8,3.1,7.1,5.7,86,79,1,4,3,5,84,56,78,55,66,75,71,0,66,67,Entrepreneurship,Software Engineer,61.2,Average,44.4,49.8,Management
B.Tech,IT,2,8.64,58,6.3,4.2,8.6,6.8,93,97,0,7,5,6,100,54,88,44,79,68,72,1,91,92,Entrepreneurship,Software Engineer,97.9,Excellent,72.7,67.1,Tech
B.Tech,CSE,2,8.29,72,6.1,2.3,7.7,3.5,95,94,0,3,3,3,70,58,56,67,38,76,74,0,60,59,Entrepreneurship,ML Engineer,86.9,Good,51.8,56.9,Tech
B.Com,General,3,8.85,100,4.1,2.0,9.0,5.6,93,85,0,3,2,1,42,38,75,78,60,57,78,0,55,51,Entrepreneurship,Data Analyst,83.7,Good,40.5,30.8,Commerce
BBA,HR,2,8.72,71,4.8,3.0,6.7,5.2,100,100,0,5,2,5,94,45,85,66,62,63,70,0,78,74,Government Exam,Software Engineer,89.8,Good,46.6,55.2,Management
BBA,Finance,4,7.17,68,4.4,0.0,6.3,7.4,86,84,1,6,5,1,79,95,59,60,62,51,57,2,78,79,Government Exam,Software Engineer,63.3,Average,49.6,47.1,Management
BBA,HR,4,8.92,63,3.7,3.4,7.5,6.1,100,87,1,7,7,8,82,97,84,59,55,76,74,3,100,100,Placement,Software Engineer,83.3,Good,64.7,64.1,Management
B.Tech,ECE,4,8.07,60,3.5,1.5,8.9,5.1,96,81,0,5,3,5,100,71,76,60,62,50,68,1,64,56,Higher Studies,ML Engineer,77.8,Good,61.1,63.8,Tech
B.Tech,CSE,1,9.09,61,6.6,4.5,5.9,8.4,100,91,0,4,2,9,83,38,75,81,57,55,79,0,69,76,Higher Studies,ML Engineer,95.2,Excellent,59.1,58.5,Tech
B.Tech,AI&DS,4,8.6,98,4.2,3.4,8.4,4.9,97,94,0,5,4,6,85,64,68,57,50,85,60,0,69,67,Entrepreneurship,Data Analyst,89.8,Good,59.0,61.9,Tech
B.Com,Hons,3,7.54,78,3.3,3.6,7.5,4.4,96,84,0,6,3,7,100,60,96,64,67,78,61,1,92,86,Placement,Business Analyst,81.5,Good,55.1,57.3,Commerce
BCA,General,1,8.95,56,5.3,3.6,6.6,7.2,100,88,0,6,1,5,72,0,88,50,53,56,64,0,74,86,Placement,Data Analyst,93.5,Excellent,59.6,56.7,Tech
B.Tech,CSE,1,8.17,74,5.1,1.9,8.5,5.0,100,86,0,3,0,8,70,23,72,51,70,90,69,0,60,62,Placement,ML Engineer,81.2,Good,56.8,68.1,Tech
B.Tech,AI&DS,1,8.27,84,2.3,2.2,5.8,6.1,99,92,0,3,2,0,45,35,64,59,54,88,77,0,45,40,Higher Studies,Software Engineer,73.2,Average,50.7,56.9,Tech
B.Tech,CSE,1,8.82,76,3.5,0.5,7.7,9.5,92,100,1,1,0,4,54,24,49,67,56,71,78,0,45,46,Higher Studies,Software Engineer,61.6,Average,45.6,52.8,Tech
B.Tech,AI&DS,2,7.54,56,2.0,4.3,6.8,5.0,88,88,0,7,4,4,100,48,88,44,78,80,49,1,90,92,Placement,Data Analyst,79.0,Good,72.1,67.5,Tech
BBA,Marketing,4,9.13,83,8.0,1.0,8.1,4.1,91,100,1,6,3,2,91,58,68,52,67,56,50,1,83,79,Placement,Software Engineer,93.9,Excellent,47.0,59.1,Management
BCA,General,2,7.43,73,4.0,2.5,7.3,5.6,87,80,1,4,3,3,69,29,80,52,66,48,58,1,71,77,Placement,ML Engineer,67.0,Average,57.9,55.5,Tech
B.Com,General,2,7.4,75,3.5,4.0,8.1,5.4,79,82,0,7,4,3,83,58,92,48,55,54,76,1,80,80,Placement,Data Analyst,82.6,Good,50.1,47.7,Commerce
BCA,General,4,7.89,94,3.7,4.3,7.0,7.5,97,93,0,7,4,4,100,89,87,70,63,55,49,3,100,100,Placement,Business Analyst,86.4,Good,77.6,74.2,Tech
B.Tech,IT,2,7.62,74,3.4,2.2,6.6,3.3,78,86,0,4,3,0,60,35,74,44,41,65,59,0,58,49,Placement,ML Engineer,76.3,Good,50.5,57.5,Tech
BBA,Marketing,4,8.0,62,4.2,0.5,6.9,11.4,85,97,1,3,3,0,59,48,43,56,50,56,84,2,62,67,Placement,ML Engineer,59.3,Average,46.6,53.4,Management
BBA,Finance,2,7.12,53,6.4,2.8,7.2,4.6,89,76,0,6,4,0,63,70,73,41,62,65,56,1,65,54,Placement,Software Engineer,84.6,Good,44.9,44.6,Management
BCA,General,3,8.39,64,4.6,2.9,7.4,7.1,100,93,0,7,6,3,100,63,88,54,38,60,58,1,82,86,Placement,ML Engineer,88.7,Good,66.6,66.8,Tech
BBA,Marketing,2,7.43,62,2.4,3.0,7.7,7.9,75,91,0,5,2,2,87,11,90,45,55,81,59,1,82,79,Entrepreneurship,ML Engineer,70.6,Average,50.7,55.9,Management
BCA,General,3,5.83,49,2.8,2.1,7.0,6.4,82,66,0,4,5,2,60,46,65,75,49,58,66,1,63,63,Placement,Business Analyst,57.5,Average,55.8,53.1,Tech
BCA,General,1,8.21,80,4.8,2.3,7.7,7.2,98,81,1,3,5,7,43,43,49,60,44,87,80,0,72,77,Placement,Software Engineer,71.2,Average,52.5,71.7,Tech
B.Tech,CSE,3,8.83,78,3.3,1.7,9.0,6.1,86,89,0,4,4,1,83,79,72,61,56,59,60,2,81,82,Placement,ML Engineer,80.7,Good,64.1,63.1,Tech
B.Tech,CSE,2,8.76,72,4.2,2.7,6.3,7.3,85,84,1,6,5,0,70,60,89,66,58,61,63,0,66,70,Placement,Software Engineer,79.7,Good,60.3,67.9,Tech
B.Tech,ECE,4,8.45,62,8.0,3.5,8.0,5.1,95,91,0,8,5,9,100,71,84,63,63,71,67,2,100,100,Placement,ML Engineer,100.0,Excellent,78.2,79.6,Tech
B.Tech,AI&DS,2,7.25,76,3.0,2.8,6.3,4.7,91,91,0,4,3,7,58,41,81,56,65,85,56,0,72,74,Placement,Business Analyst,72.5,Average,58.9,63.0,Tech
BCA,General,1,8.28,82,2.3,2.4,6.1,2.4,91,87,1,2,1,6,33,15,73,70,53,51,74,0,62,59,Higher Studies,Software Engineer,67.5,Average,49.0,57.9,Tech
B.Tech,IT,3,7.41,93,3.4,3.8,8.4,6.9,90,92,0,5,4,5,74,78,71,60,58,70,57,2,84,79,Higher Studies,Software Engineer,77.5,Good,66.1,76.6,Tech
BCA,General,1,7.41,77,1.8,2.8,6.1,5.3,89,79,2,4,2,2,55,33,64,89,72,55,47,0,59,58,Higher Studies,Business Analyst,53.4,At Risk,52.7,52.4,Tech
Law,Corporate,3,9.8,79,6.4,2.5,7.0,6.7,100,93,0,7,6,0,87,100,83,62,53,69,60,0,62,52,Government Exam,Data Analyst,100.0,Excellent,45.4,57.1,Law
B.Tech,IT,4,8.91,75,2.8,2.6,6.2,5.4,82,89,0,6,6,0,100,100,73,34,71,79,59,3,82,86,Placement,ML Engineer,86.2,Good,72.5,73.6,Tech
B.Tech,AI&DS,3,7.3,69,3.0,1.0,9.0,8.5,85,85,0,2,2,3,59,84,56,56,43,77,84,0,47,52,Entrepreneurship,ML Engineer,61.3,Average,47.9,52.4,Tech
BBA,HR,1,8.01,82,2.5,1.2,7.0,5.7,90,78,0,3,1,0,67,33,63,55,43,46,58,0,46,42,Placement,Data Analyst,70.4,Average,32.4,37.6,Management
B.Tech,ECE,3,8.86,72,2.0,2.4,5.9,4.8,86,84,0,4,4,4,61,80,82,91,81,61,51,0,69,70,Higher Studies,Software Engineer,79.5,Good,59.6,65.3,Tech
B.Tech,AI&DS,3,8.15,71,4.4,1.6,6.1,5.2,96,79,0,4,3,3,65,55,72,67,59,70,70,0,70,62,Placement,Software Engineer,79.9,Good,57.5,69.4,Tech
B.Tech,CSE,4,6.67,68,3.4,2.4,9.0,7.0,81,84,2,6,5,2,81,94,63,51,53,69,62,3,83,84,Entrepreneurship,Business Analyst,54.1,At Risk,68.6,65.9,Tech
B.Tech,ECE,1,7.83,66,1.8,3.5,6.8,11.8,85,91,0,3,1,4,62,33,70,40,60,72,62,0,64,56,Higher Studies,Business Analyst,64.7,Average,52.2,57.4,Tech
Law,Criminal,2,7.62,75,3.9,3.3,6.9,8.7,81,66,1,5,3,3,89,58,59,61,36,62,56,0,78,70,Placement,Business Analyst,68.9,Average,44.4,42.8,Law
B.Com,General,2,7.77,82,5.0,3.0,8.5,3.6,92,100,0,4,2,5,44,21,71,84,60,51,45,0,66,66,Higher Studies,Data Analyst,84.0,Good,39.3,41.7,Commerce
BCA,General,1,7.22,64,3.8,3.5,8.3,6.5,91,72,0,3,0,5,58,50,64,62,48,61,55,0,69,66,Placement,Data Analyst,71.9,Average,50.8,55.3,Tech
B.Com,Hons,2,7.09,76,5.4,3.7,6.1,4.4,86,91,0,5,4,8,83,33,83,80,64,74,68,0,75,77,Government Exam,Software Engineer,82.7,Good,48.9,53.1,Commerce
B.Com,General,2,7.82,63,7.0,3.7,6.2,5.2,98,96,2,5,4,4,92,49,72,59,54,57,65,0,63,52,Higher Studies,Business Analyst,75.2,Good,41.4,50.5,Commerce
B.Tech,ECE,4,8.81,81,5.7,3.7,6.4,5.4,100,100,0,6,4,7,83,77,83,59,62,53,65,1,75,76,Placement,Software Engineer,96.9,Excellent,64.0,68.0,Tech
B.Com,Hons,4,8.62,91,4.8,1.1,6.7,5.8,100,88,0,5,4,3,63,59,72,68,47,55,70,2,84,87,Placement,Data Analyst,85.7,Good,52.5,64.2,Commerce
BCA,General,3,9.7,79,5.7,0.2,7.8,7.8,95,99,0,3,4,4,51,33,51,86,48,70,91,2,78,76,Placement,ML Engineer,87.7,Good,61.8,59.9,Tech
B.Com,General,2,7.8,70,7.8,1.6,6.9,5.5,81,87,0,3,2,2,69,52,65,88,58,37,74,0,53,45,Higher Studies,Software Engineer,85.3,Good,36.8,44.1,Commerce
B.Com,Hons,2,6.75,84,2.3,2.0,6.7,6.3,89,96,1,2,2,1,35,57,50,90,51,66,66,1,65,72,Placement,Data Analyst,52.1,At Risk,45.4,41.3,Commerce
B.Tech,ECE,4,8.88,58,5.4,3.6,7.0,6.0,96,92,0,7,5,3,83,86,71,57,78,89,67,1,78,79,Higher Studies,Business Analyst,96.7,Excellent,69.6,71.8,Tech
B.Tech,ECE,4,6.27,77,3.0,2.4,6.4,4.6,73,91,0,6,6,2,69,62,79,65,77,61,77,3,84,82,Entrepreneurship,ML Engineer,68.9,Average,73.5,69.3,Tech
B.Tech,ECE,4,6.04,100,4.9,1.9,8.6,4.9,74,73,0,3,4,6,56,89,61,81,72,59,70,0,60,59,Placement,ML Engineer,66.8,Average,53.0,58.0,Tech
B.Tech,AI&DS,3,8.31,62,2.5,2.7,6.3,4.8,100,87,0,7,6,6,100,71,80,34,78,60,55,2,93,92,Entrepreneurship,ML Engineer,83.5,Good,71.7,62.4,Tech
B.Com,Hons,2,7.24,69,5.6,3.1,7.0,7.3,95,84,0,6,4,5,100,61,74,61,56,95,49,0,78,80,Higher Studies,Business Analyst,82.0,Good,50.7,62.2,Commerce
B.Com,Hons,4,7.37,71,4.9,3.4,7.6,5.3,94,86,0,7,6,4,100,69,90,71,68,89,82,3,100,98,Placement,ML Engineer,85.5,Good,68.9,65.9,Commerce
B.Tech,AI&DS,2,8.69,58,6.7,2.0,7.7,9.5,97,93,0,4,2,9,74,49,71,67,46,64,62,0,74,70,Placement,Data Analyst,86.5,Good,56.4,60.3,Tech
BCA,General,2,7.72,65,4.1,1.4,6.6,4.4,89,84,0,2,2,0,48,19,59,48,66,61,58,1,52,59,Government Exam,Software Engineer,71.9,Average,48.5,52.0,Tech
B.Tech,CSE,3,7.43,74,4.0,1.6,8.1,4.4,88,72,0,4,4,2,71,57,50,81,32,75,62,1,69,75,Placement,ML Engineer,74.6,Average,56.4,59.0,Tech
B.Tech,ECE,1,6.61,93,4.1,2.6,9.0,3.9,86,74,1,4,3,7,73,15,67,48,52,63,70,0,63,62,Placement,ML Engineer,64.6,Average,53.2,61.4,Tech
B.Tech,CSE,1,7.75,80,8.0,1.2,8.8,5.8,92,92,0,1,2,3,8,35,42,91,34,67,46,0,51,41,Placement,Data Analyst,80.9,Good,39.0,40.2,Tech
B.Tech,CSE,2,7.64,87,5.5,3.6,4.5,4.9,83,94,0,6,3,10,98,50,89,87,60,60,75,1,100,99,Government Exam,Business Analyst,88.6,Good,74.4,76.7,Tech
Law,Corporate,2,7.64,84,6.5,1.2,6.9,5.3,97,86,2,1,1,2,32,57,49,71,55,77,63,1,44,49,Higher Studies,ML Engineer,60.5,Average,40.1,46.5,Law
B.Tech,CSE,4,8.35,76,5.6,0.6,6.3,8.0,95,86,0,3,3,0,82,76,56,65,45,67,39,0,45,41,Higher Studies,Data Analyst,78.3,Good,46.6,57.3,Tech
BCA,General,1,8.34,52,5.8,2.7,7.6,5.7,79,79,0,3,0,4,61,9,73,72,66,63,62,0,49,52,Placement,Data Analyst,84.2,Good,51.8,45.2,Tech
BBA,Finance,1,7.27,92,2.3,2.2,8.1,5.2,79,96,0,1,1,4,27,70,45,99,25,58,72,0,60,56,Government Exam,Business Analyst,63.5,Average,40.2,52.8,Management
B.Tech,ECE,1,7.88,85,3.7,3.1,5.9,6.6,89,93,1,4,2,1,43,37,74,59,49,51,76,0,48,47,Entrepreneurship,Business Analyst,70.0,Average,48.8,55.2,Tech
Law,Criminal,1,9.24,76,3.6,1.9,7.9,6.4,100,87,0,3,1,3,66,26,47,71,52,67,62,0,58,62,Placement,Software Engineer,82.6,Good,40.4,48.1,Law
Law,Criminal,1,8.22,57,4.6,3.0,7.0,7.5,94,93,0,2,2,4,59,27,55,73,47,68,82,0,55,53,Placement,ML Engineer,76.7,Good,41.3,47.0,Law
