degree,year,goal,study_hours,self_learning_hours,screen_time,sleep_hours,cgpa,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,internships_count,github_activity_score,programming_score,sql_score,communication_score,resume_score,ats_score,academic_score,academic_category,employability_score
B.Tech,2,Entrepreneurship,2.2,2.2,9.7,7.5,8.42,100,98,0,5,3,0,75,82,45,54,56,51,78.6,Good,61.5
Law,1,Government Exam,4.2,1.1,9.0,7.2,6.86,85,76,3,2,2,0,63,51,66,39,48,43,40.7,At Risk,43.0
BBA,4,Placement,4.0,1.4,7.3,6.9,8.94,100,94,0,5,4,1,76,77,50,73,58,55,89.2,Good,68.1
Law,1,Entrepreneurship,4.9,4.2,6.2,7.7,9.45,97,82,0,6,5,0,92,81,45,49,55,51,100.0,Excellent,65.5
B.Com,1,Placement,3.6,2.7,4.7,7.4,7.78,79,84,0,3,0,0,53,65,69,66,61,57,79.8,Good,53.7
BCA,2,Higher Studies,4.6,1.3,6.0,6.7,7.85,82,96,0,2,1,1,52,48,66,56,60,50,77.4,Good,49.7
Law,3,Placement,4.0,1.8,9.3,6.0,6.64,91,73,3,5,2,1,93,69,72,75,70,69,45.4,At Risk,72.1
B.Tech,2,Placement,4.0,1.6,7.7,6.2,6.53,73,87,0,4,1,0,83,52,73,74,51,55,67.7,Average,56.2
B.Tech,2,Government Exam,4.6,2.4,6.4,5.5,7.86,93,77,0,3,2,0,51,62,57,67,53,50,81.2,Good,50.3
B.Tech,3,Higher Studies,4.6,2.7,7.8,7.1,8.9,91,83,0,5,3,0,82,72,81,63,40,42,92.4,Excellent,62.0
B.Tech,2,Placement,5.6,4.8,7.1,6.1,7.25,78,83,1,6,2,0,96,75,51,59,54,59,81.4,Good,65.8
B.Tech,4,Placement,4.3,0.2,6.8,6.5,9.53,100,100,1,4,4,2,89,64,49,50,77,69,82.8,Good,68.6
B.Tech,4,Placement,4.0,2.5,8.0,6.9,6.95,80,80,0,7,6,1,77,89,70,57,70,67,78.5,Good,79.6
B.Com,2,Higher Studies,4.2,2.1,7.0,8.0,7.74,82,90,0,4,3,0,68,63,68,70,54,46,79.8,Good,56.7
B.Tech,2,Placement,3.4,3.6,7.7,7.9,7.62,87,94,0,4,1,1,58,64,52,88,66,59,78.8,Good,63.2
B.Tech,3,Placement,4.0,2.9,6.3,6.9,7.4,82,78,0,5,4,0,72,90,52,71,53,60,80.6,Good,65.4
BCA,1,Higher Studies,7.5,3.2,5.5,8.3,6.19,98,67,0,4,2,0,55,74,70,73,51,48,81.1,Good,58.3
B.Tech,2,Higher Studies,3.1,2.9,4.9,5.0,6.81,92,79,0,5,2,0,88,57,68,63,57,59,74.8,Average,60.0
B.Com,2,Government Exam,4.1,1.4,4.7,8.9,7.69,83,95,1,2,2,1,7,52,49,71,57,58,67.9,Average,45.4
B.Tech,4,Higher Studies,3.9,4.0,2.8,7.7,7.4,83,78,0,8,5,2,100,90,55,39,74,78,92.1,Excellent,87.4
Law,1,Entrepreneurship,4.1,3.5,4.2,7.1,8.09,74,95,0,2,0,0,16,58,51,56,50,51,83.9,Good,40.5
BBA,3,Entrepreneurship,4.0,3.6,4.1,6.1,8.18,92,85,1,6,3,0,81,93,33,73,63,64,84.5,Good,69.7
B.Tech,3,Government Exam,4.9,4.0,5.0,6.6,7.42,81,98,0,5,4,1,76,83,85,73,68,61,87.2,Good,74.7
B.Tech,2,Higher Studies,1.9,3.0,9.1,7.6,6.32,82,98,3,5,4,0,73,82,68,58,54,54,39.3,At Risk,63.7
B.Com,1,Placement,6.1,4.3,5.7,7.6,9.2,80,100,1,5,2,0,90,81,82,49,59,59,96.7,Excellent,66.4
BBA,4,Entrepreneurship,5.4,3.0,6.5,7.7,6.5,82,67,1,7,6,2,100,93,60,64,91,86,73.7,Average,90.6
BBA,2,Placement,2.6,2.2,6.5,6.3,6.76,97,62,1,3,4,0,85,60,50,59,57,47,57.9,Average,52.4
BBA,3,Placement,1.1,2.5,9.2,6.1,6.3,81,80,0,6,4,1,91,81,51,76,81,83,61.5,Average,77.7
B.Tech,1,Placement,3.0,2.5,4.8,7.2,8.03,83,94,0,1,0,0,49,58,51,73,40,46,75.4,Good,41.2
B.Tech,2,Placement,4.1,1.9,5.6,7.8,8.71,93,93,0,4,3,0,89,62,57,83,61,52,88.3,Good,59.9
B.Tech,2,Entrepreneurship,8.0,4.5,5.8,7.0,7.94,89,80,0,5,2,0,72,66,41,78,55,54,100.0,Excellent,59.1
B.Com,1,Higher Studies,5.3,2.9,8.3,8.5,7.9,100,74,0,4,3,0,86,57,59,61,40,40,84.6,Good,53.2
BCA,1,Higher Studies,1.8,2.6,8.7,7.0,7.55,85,92,0,4,2,0,35,88,56,69,63,66,70.3,Average,59.8
B.Tech,4,Higher Studies,3.5,3.0,6.9,7.0,9.04,85,100,1,5,3,2,84,82,78,89,82,88,83.7,Good,83.0
B.Tech,1,Placement,4.4,6.0,8.5,7.7,5.97,80,73,2,7,2,0,100,100,73,60,79,79,62.5,Average,81.3
B.Tech,1,Placement,4.9,1.1,6.4,8.2,8.3,93,94,0,2,0,0,45,65,59,67,40,43,81.0,Good,45.7
B.Tech,2,Higher Studies,2.5,1.5,5.7,5.7,7.62,92,100,0,3,3,0,53,51,72,64,53,53,71.8,Average,49.0
BBA,3,Government Exam,4.3,0.8,8.4,5.9,7.21,92,82,0,4,3,2,65,57,48,65,70,65,71.9,Average,64.8
BCA,1,Placement,3.4,2.2,7.0,6.7,7.71,100,84,1,3,1,0,78,55,46,54,61,60,67.4,Average,49.8
B.Com,3,Government Exam,2.8,2.8,4.5,9.0,7.99,85,91,0,6,5,0,68,100,63,80,52,52,85.5,Good,72.2
BCA,1,Placement,4.9,1.9,8.0,6.7,8.16,85,85,1,2,1,0,38,49,66,53,45,45,71.8,Average,41.2
B.Tech,1,Placement,5.7,1.9,5.6,6.9,9.69,83,100,0,3,1,0,68,72,62,87,52,54,98.6,Excellent,56.9
BBA,1,Placement,5.8,2.7,5.3,7.6,7.88,94,83,0,4,1,0,72,65,85,84,61,62,88.3,Good,61.9
BBA,4,Placement,5.4,1.9,7.8,8.0,7.73,81,85,0,5,4,2,97,73,75,68,79,78,83.9,Good,79.3
BCA,1,Government Exam,3.8,2.9,5.8,7.2,7.3,93,72,0,5,2,0,90,86,80,65,59,56,79.6,Good,69.2
BBA,1,Government Exam,5.6,3.8,6.8,8.2,8.23,87,86,0,5,4,0,72,82,56,55,57,60,93.5,Excellent,62.8
BCA,2,Placement,5.0,3.3,7.3,5.8,7.62,100,77,0,5,3,0,88,77,69,65,59,61,85.1,Good,65.6
BCA,4,Higher Studies,4.7,3.6,4.4,6.2,7.62,76,88,2,8,6,2,96,100,49,77,94,94,77.7,Good,95.5
B.Tech,2,Government Exam,3.6,3.8,6.8,8.2,7.45,95,71,1,5,2,0,49,65,54,56,53,49,73.2,Average,55.5
B.Tech,2,Placement,3.8,2.8,8.7,7.0,7.34,93,92,1,6,4,0,82,73,69,82,62,56,71.0,Average,69.3
B.Tech,1,Placement,4.6,2.3,4.1,5.7,7.04,89,76,0,3,3,0,57,61,51,77,50,53,76.7,Good,50.6
B.Tech,2,Entrepreneurship,8.0,1.6,6.9,5.7,8.48,83,100,0,4,2,0,55,74,53,63,40,40,96.1,Excellent,53.9
BCA,3,Higher Studies,5.0,2.0,4.3,6.2,7.39,91,95,0,3,3,1,58,59,71,74,44,42,79.7,Good,55.9
B.Tech,3,Entrepreneurship,3.6,1.9,8.0,7.0,7.99,90,91,2,3,2,0,56,70,53,54,40,40,60.4,Average,49.0
BCA,2,Placement,3.3,3.4,8.0,7.5,7.49,72,72,0,5,3,0,52,64,79,63,58,60,78.4,Good,59.5
Law,2,Government Exam,3.8,2.9,5.3,6.7,7.12,98,78,0,4,5,0,59,80,61,91,60,53,76.8,Good,62.5
B.Tech,1,Placement,7.8,3.3,10.4,7.4,9.47,94,85,1,4,2,0,82,80,62,79,51,44,95.3,Excellent,62.2
B.Tech,2,Placement,3.9,1.1,8.2,6.6,7.39,98,78,0,0,1,0,27,35,68,70,40,40,64.8,Average,31.7
BBA,1,Higher Studies,5.9,4.2,7.4,8.2,8.34,91,100,0,6,3,0,81,86,62,65,71,73,97.3,Excellent,71.4
B.Tech,3,Placement,3.9,2.0,7.3,9.0,6.86,92,81,2,5,4,1,89,70,69,64,70,69,57.4,Average,70.5
B.Tech,4,Placement,4.9,1.2,8.0,6.6,5.81,72,72,3,6,5,1,100,78,51,64,70,67,43.6,At Risk,74.7
B.Tech,4,Placement,5.7,2.0,4.0,7.5,7.24,87,77,0,4,3,1,61,77,24,55,65,74,82.9,Good,60.3
B.Tech,4,Placement,3.6,5.5,6.4,7.4,5.52,78,72,3,8,5,1,100,96,43,72,71,74,51.7,At Risk,85.5
Law,3,Government Exam,3.5,2.0,6.8,7.1,7.22,83,88,0,5,4,0,88,76,58,77,68,58,75.7,Good,66.7
B.Com,3,Placement,7.0,2.1,5.2,7.7,9.27,89,79,0,5,4,1,72,75,72,61,70,66,100.0,Excellent,70.2
BCA,2,Placement,6.0,2.3,6.9,7.5,6.98,60,83,0,4,4,0,51,70,97,70,54,44,79.4,Good,59.6
B.Com,3,Placement,5.7,2.3,8.5,6.5,5.86,72,81,0,3,3,0,80,75,56,56,49,46,66.1,Average,54.7
B.Com,2,Placement,5.7,1.6,5.2,8.3,9.1,100,77,0,3,4,0,72,62,55,64,52,57,93.8,Excellent,51.7
B.Tech,2,Higher Studies,5.2,2.7,5.9,7.2,7.25,75,72,0,3,3,0,51,55,70,54,55,57,79.0,Good,49.0
B.Com,3,Placement,7.5,3.8,4.4,6.6,8.01,80,86,0,6,6,0,100,91,68,62,50,48,100.0,Excellent,71.3
BCA,2,Government Exam,4.6,2.9,2.4,9.0,8.29,79,99,0,4,4,1,76,84,68,66,57,55,91.4,Excellent,67.9
B.Com,2,Placement,5.4,1.2,7.6,6.9,8.18,92,97,0,2,1,0,62,55,61,72,45,46,80.3,Good,46.3
B.Com,4,Placement,2.3,2.1,5.9,7.3,7.92,82,81,0,5,5,0,53,84,35,57,57,48,78.6,Good,59.2
B.Tech,1,Entrepreneurship,3.3,1.8,6.1,7.2,8.2,100,99,0,3,2,0,49,58,67,70,46,45,79.0,Good,49.6
B.Tech,2,Government Exam,2.7,2.6,4.0,6.9,5.73,84,75,1,4,3,0,91,73,64,53,62,63,55.1,Average,60.7
B.Tech,4,Placement,6.4,4.1,5.6,7.4,6.59,84,78,0,7,6,1,100,78,41,68,70,64,88.5,Good,77.3
B.Tech,3,Government Exam,1.0,2.3,8.2,6.2,8.1,92,88,0,5,3,1,74,69,73,91,59,55,74.3,Average,70.2
B.Com,2,Placement,3.9,2.4,6.0,7.6,6.78,77,88,2,3,2,1,49,65,75,60,56,66,54.7,At Risk,57.6
B.Com,1,Government Exam,1.0,4.6,6.1,5.2,6.44,76,75,2,5,2,0,90,88,73,48,72,74,51.8,At Risk,69.3
B.Tech,2,Higher Studies,3.3,3.6,6.4,5.7,6.25,86,76,1,6,6,0,97,87,58,75,64,55,64.5,Average,72.7
BCA,4,Higher Studies,3.8,3.2,3.5,8.8,7.1,92,73,0,7,4,1,100,97,68,68,72,68,84.9,Good,85.0
B.Tech,3,Entrepreneurship,6.6,4.8,7.2,5.7,7.57,93,88,0,7,3,0,71,82,51,70,65,65,96.8,Excellent,70.7
B.Tech,2,Placement,5.1,3.1,3.5,5.0,6.82,80,89,3,5,2,0,76,89,44,80,45,57,58.5,Average,64.3
B.Tech,1,Higher Studies,3.3,0.1,4.1,5.8,6.44,79,88,1,0,0,0,32,34,63,56,40,44,49.4,At Risk,29.9
B.Tech,1,Placement,6.1,3.5,3.9,8.7,8.1,83,76,0,4,2,0,32,64,42,56,57,63,94.2,Excellent,49.9
Law,4,Placement,4.5,0.6,5.6,5.2,6.85,90,79,0,5,5,0,55,75,62,71,63,65,73.9,Average,62.5
B.Tech,2,Placement,4.6,3.0,5.3,6.0,7.04,69,93,0,4,3,0,41,63,64,77,54,49,78.8,Good,54.3
BCA,3,Placement,2.7,0.4,6.0,5.5,5.5,59,78,1,4,3,2,77,73,52,67,66,73,47.0,At Risk,70.0
BBA,1,Higher Studies,3.0,1.9,4.2,6.7,9.1,79,91,0,3,2,0,42,45,94,64,59,63,87.5,Good,49.2
B.Tech,3,Higher Studies,3.3,2.1,8.0,6.6,8.24,74,88,0,4,4,1,49,62,56,68,61,67,79.8,Good,59.2
Law,4,Higher Studies,4.6,1.6,7.7,6.5,7.14,96,87,0,6,5,2,92,83,68,73,72,80,78.3,Good,83.1
Law,3,Placement,4.6,2.1,5.7,8.9,6.78,90,84,0,4,4,0,49,73,62,47,49,57,74.6,Average,53.8
B.Tech,1,Placement,6.8,3.7,5.0,5.8,7.93,80,82,0,5,3,0,86,58,79,53,57,57,96.3,Excellent,60.2
BCA,3,Entrepreneurship,5.1,1.6,4.8,6.9,7.65,87,92,0,4,3,1,100,61,59,63,61,63,82.9,Good,64.0
B.Tech,3,Placement,1.0,3.2,5.4,7.3,5.9,91,68,0,6,5,2,86,68,45,73,75,76,63.1,Average,77.1
B.Tech,2,Higher Studies,4.9,1.3,3.2,6.0,5.5,81,87,1,3,2,0,26,61,71,91,54,59,56.2,Average,51.5
B.Tech,4,Government Exam,2.3,2.3,4.1,7.5,6.78,100,74,2,6,6,2,85,79,42,63,79,80,57.6,Average,78.9
BCA,3,Government Exam,3.1,2.9,7.7,6.6,5.95,78,83,0,6,6,0,99,79,52,67,71,71,66.8,Average,70.5
BCA,4,Higher Studies,3.3,1.3,6.6,7.4,7.55,82,83,1,4,3,3,73,64,57,57,80,80,66.2,Average,74.0
B.Tech,3,Entrepreneurship,3.5,0.9,9.3,6.9,7.59,79,81,0,2,3,0,56,44,57,72,45,44,67.8,Average,42.7
B.Tech,1,Placement,2.4,3.1,5.4,4.9,6.39,82,91,1,4,3,0,59,66,59,51,51,53,59.2,Average,53.5
Law,2,Entrepreneurship,4.8,3.8,5.3,8.3,7.14,93,89,2,6,4,0,87,93,58,64,60,67,70.0,Average,71.7
B.Tech,1,Placement,2.4,2.4,5.2,9.0,8.84,95,89,0,3,2,0,19,60,66,53,43,40,83.5,Good,44.7
B.Tech,4,Placement,5.0,2.0,5.4,6.8,8.35,88,100,0,6,5,0,100,73,54,39,62,62,92.5,Excellent,65.1
BCA,3,Placement,7.9,2.7,4.7,6.1,7.67,98,93,0,5,4,0,60,84,71,95,63,65,95.6,Excellent,68.5
Law,3,Government Exam,2.5,2.6,6.5,8.5,9.34,100,85,0,5,4,2,83,65,52,74,82,90,90.8,Excellent,74.8
B.Tech,2,Placement,4.1,2.8,6.1,8.9,6.43,81,62,3,3,1,0,42,78,45,74,53,51,45.2,At Risk,52.9
BBA,1,Placement,1.0,0.0,5.0,6.8,6.32,75,81,3,0,0,0,18,52,48,75,67,63,24.6,At Risk,37.5
BBA,3,Placement,4.0,1.2,8.5,6.8,7.41,85,95,1,4,3,1,82,56,58,82,66,74,65.3,Average,63.5
B.Tech,2,Entrepreneurship,5.5,1.5,9.8,6.9,6.34,85,85,0,1,1,1,25,58,79,66,40,42,62.3,Average,45.8
BBA,1,Government Exam,5.6,2.7,8.3,5.3,9.35,90,100,0,5,4,0,68,58,64,75,63,61,98.6,Excellent,60.0
B.Tech,3,Higher Studies,4.6,2.7,7.1,6.7,7.76,78,81,0,4,3,2,68,71,58,58,81,86,82.2,Good,70.6
BCA,1,Higher Studies,5.8,3.3,7.5,8.7,7.06,81,82,0,6,4,0,82,74,64,62,61,52,85.0,Good,67.0
BCA,2,Placement,8.0,2.8,9.7,6.8,8.5,92,88,0,3,2,1,41,70,46,46,48,48,93.9,Excellent,52.3
BCA,2,Placement,7.1,0.9,7.5,6.0,8.09,100,89,1,2,1,1,71,56,39,67,41,42,76.3,Good,49.2
B.Tech,1,Entrepreneurship,3.7,4.2,4.8,7.5,7.18,76,89,0,4,1,0,40,74,50,58,55,58,80.3,Good,53.9
B.Com,4,Placement,2.3,4.0,6.8,6.3,6.16,82,92,0,7,4,0,100,82,49,63,59,55,71.5,Average,71.8
B.Tech,1,Placement,3.9,1.0,7.3,6.9,6.19,78,94,0,1,1,0,29,56,100,74,42,40,57.9,Average,43.9
B.Tech,1,Placement,3.1,2.9,4.0,5.7,9.33,94,100,1,3,2,0,43,66,93,68,48,56,83.7,Good,53.5
B.Tech,1,Placement,5.2,1.8,5.4,6.0,6.46,94,86,2,2,2,0,49,51,93,77,59,59,53.3,At Risk,49.9
BCA,3,Placement,2.7,2.7,8.2,7.7,8.84,94,87,0,4,4,2,68,66,46,57,78,79,84.0,Good,67.8
BBA,2,Higher Studies,4.4,3.8,2.4,7.1,6.8,76,84,1,6,4,0,100,84,91,69,59,55,76.7,Good,74.1
B.Tech,3,Placement,5.8,5.1,3.5,6.2,8.47,99,94,0,8,3,0,98,99,54,57,68,64,100.0,Excellent,80.2
BCA,1,Higher Studies,4.3,3.4,5.6,7.1,7.97,96,87,0,2,3,0,36,66,89,62,55,52,82.0,Good,49.7
B.Tech,1,Placement,3.1,2.9,6.7,6.4,7.96,81,79,0,5,3,0,95,84,71,61,60,66,81.9,Good,68.0
BCA,2,Placement,6.3,2.1,3.3,6.2,8.5,82,85,0,4,0,0,64,76,50,52,58,55,95.7,Excellent,56.8
B.Tech,4,Placement,1.7,2.7,5.7,8.2,5.7,81,84,1,6,5,2,100,79,89,60,89,88,54.3,At Risk,86.2
BBA,4,Government Exam,4.0,4.1,8.3,7.8,6.89,84,80,0,7,4,0,100,94,89,71,61,69,81.1,Good,80.1
B.Tech,1,Placement,4.4,2.4,6.1,7.0,6.33,77,80,2,3,1,0,64,63,49,54,59,70,52.7,At Risk,50.5
Law,2,Higher Studies,4.5,1.4,7.9,7.1,7.75,97,85,0,4,3,0,58,75,69,57,52,45,78.6,Good,57.4
B.Tech,4,Government Exam,4.8,0.6,4.8,7.0,6.42,77,73,1,7,4,2,98,76,35,79,66,55,68.0,Average,81.4
B.Tech,2,Higher Studies,5.4,3.1,4.4,7.5,5.93,83,77,0,7,5,0,100,88,59,82,58,55,79.5,Good,76.0
B.Tech,4,Placement,4.4,2.8,7.7,6.2,7.35,96,80,1,5,4,0,82,75,59,74,52,47,72.1,Average,63.5
Law,1,Placement,3.9,1.7,6.7,7.9,5.5,74,71,1,2,1,0,40,60,58,85,58,61,48.6,At Risk,48.5
B.Com,4,Placement,3.9,3.7,3.6,7.4,7.72,73,77,0,7,6,1,100,94,89,81,74,74,91.2,Excellent,88.0
B.Tech,3,Higher Studies,3.6,2.0,4.4,6.7,6.31,78,79,2,6,4,0,72,89,44,63,61,60,56.8,Average,67.7
BBA,4,Placement,5.7,2.3,9.1,6.5,7.0,86,87,2,6,5,1,88,89,61,88,83,88,64.6,Average,81.8
B.Com,3,Government Exam,3.5,2.5,4.2,7.8,5.5,85,85,1,4,3,1,66,70,76,83,57,47,55.4,Average,65.9
BCA,2,Entrepreneurship,5.8,2.1,7.9,6.8,9.25,92,80,0,4,4,1,66,67,45,64,60,57,95.6,Excellent,60.7
BCA,4,Placement,4.5,2.8,5.0,6.3,6.26,95,92,3,6,5,2,86,79,51,68,80,79,52.2,At Risk,80.5
B.Tech,2,Placement,3.7,3.9,6.0,6.6,7.13,75,85,0,6,3,0,87,93,81,57,63,68,82.0,Good,73.6
B.Tech,2,Higher Studies,5.4,1.1,6.6,7.8,6.1,81,70,2,5,2,0,78,71,85,63,62,62,54.8,At Risk,65.0
B.Com,3,Placement,3.4,3.1,2.0,5.4,6.66,81,78,3,6,3,2,100,100,58,46,84,86,55.7,Average,86.1
Law,3,Placement,5.5,2.7,3.1,6.6,9.3,100,77,0,6,4,1,58,80,77,57,65,63,100.0,Excellent,72.4
BCA,4,Entrepreneurship,4.8,2.7,6.2,8.1,7.89,77,73,0,7,4,2,100,97,88,74,69,68,90.8,Excellent,92.1
B.Tech,1,Placement,3.6,3.5,4.6,6.8,6.79,87,95,0,5,2,0,78,91,58,52,63,61,77.7,Good,66.4
B.Tech,3,Entrepreneurship,5.3,2.6,8.0,7.3,7.66,86,80,0,5,2,1,79,87,76,61,53,52,84.3,Good,71.5
BBA,3,Government Exam,5.3,3.1,2.8,8.1,7.19,98,88,0,5,4,1,73,74,58,71,70,70,86.9,Good,69.7
B.Com,1,Government Exam,6.2,3.4,7.1,7.9,7.75,82,85,0,5,3,0,87,77,44,61,65,73,90.3,Excellent,63.7
B.Com,2,Placement,5.9,1.9,3.2,6.6,8.46,95,88,0,4,3,0,82,66,65,78,65,67,94.1,Excellent,60.9
BBA,2,Placement,5.2,2.9,5.3,6.9,7.39,80,87,2,3,2,0,27,78,61,79,50,49,65.2,Average,53.0
BCA,2,Higher Studies,2.8,2.2,3.9,7.9,7.52,89,68,0,5,1,1,100,70,51,57,84,86,79.1,Good,71.0
