degree,branch,year,cgpa,attendance,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,certifications_count,github_activity_score,linkedin_activity_score,programming_score,sql_score,dsa_score,communication_score,aptitude_score,internships_count,resume_score,ats_score,goal,target_role,academic_score,academic_category,employability_score,placement_probability
BCA,General,1,8.31,88,1,5,4,5,67,92,3,6,0,2,100,77,52,91,81,59,74,2,69,83,Placement,Software Engineer,93.2,Excellent,88.4,84.0
BCA,General,3,5.61,84,7,0,5,4,59,99,3,3,4,7,70,77,90,43,83,87,36,2,63,46,Entrepreneurship,ML Engineer,75.8,Good,74.6,70.9
B.Tech,AI&DS,2,5.77,87,7,3,4,4,72,98,3,6,3,1,23,59,92,88,60,88,35,2,87,47,Higher Studies,Data Analyst,92.5,Excellent,86.3,82.0
B.Com,General,4,6.45,48,4,2,8,11,67,71,0,0,0,0,14,30,48,26,36,45,79,2,81,100,Government Exam,Business Analyst,76.2,Good,56.5,53.7
Law,Corporate,4,7.7,63,8,5,6,9,53,87,2,2,5,1,74,19,42,70,91,45,99,0,43,50,Government Exam,Software Engineer,100.0,Excellent,50.9,48.4
B.Com,Hons,3,7.85,75,6,5,5,4,81,83,0,7,5,8,43,76,31,73,62,62,74,2,100,98,Entrepreneurship,Data Analyst,100.0,Excellent,86.5,82.2
Law,Corporate,3,5.65,95,3,4,7,9,96,50,0,7,0,4,80,53,80,70,21,68,83,0,42,79,Placement,Business Analyst,93.4,Excellent,68.6,65.2
B.Tech,ECE,1,6.23,68,1,3,5,3,55,59,0,0,5,4,48,8,30,46,66,75,46,2,92,55,Entrepreneurship,ML Engineer,85.3,Excellent,57.6,54.7
BBA,Finance,1,7.65,99,8,0,5,6,75,89,3,0,2,5,86,33,70,31,79,67,58,1,94,48,Higher Studies,Business Analyst,84.8,Good,56.8,54.0
BCA,General,2,8.05,68,6,1,8,6,55,65,3,7,0,2,48,75,39,60,68,52,93,2,93,80,Entrepreneurship,Business Analyst,87.8,Excellent,85.1,80.8
B.Tech,CSE,3,6.14,97,6,3,4,8,84,73,1,0,4,0,67,79,32,52,34,55,100,0,78,43,Higher Studies,Software Engineer,90.5,Excellent,39.2,37.2
BCA,General,3,7.22,87,5,0,4,6,90,95,2,6,3,7,94,64,37,98,69,78,49,0,68,50,Higher Studies,Data Analyst,96.4,Excellent,65.9,62.6
BBA,HR,3,9.39,62,8,0,7,10,92,73,1,1,3,6,97,15,65,50,65,53,55,0,60,49,Placement,ML Engineer,100.0,Excellent,47.5,45.1
BBA,Marketing,4,9.8,66,5,3,8,4,54,97,1,6,4,7,73,69,69,30,95,71,58,0,51,98,Entrepreneurship,Business Analyst,100.0,Excellent,68.6,65.2
B.Tech,CSE,2,9.75,70,2,2,5,10,63,63,2,6,1,8,36,83,68,55,21,56,36,0,57,98,Entrepreneurship,Software Engineer,94.9,Excellent,59.7,56.7
BBA,Marketing,1,9.29,82,3,3,4,2,51,75,2,0,5,1,73,5,76,25,48,31,63,0,44,92,Entrepreneurship,Data Analyst,100.0,Excellent,42.2,40.1
Law,Corporate,4,7.2,46,1,5,4,4,89,88,1,5,0,4,41,34,89,64,48,37,34,0,62,68,Higher Studies,ML Engineer,100.0,Excellent,59.6,56.6
BBA,Marketing,4,8.45,88,2,4,6,5,62,67,1,7,3,1,58,2,37,79,99,70,35,2,56,80,Higher Studies,Business Analyst,100.0,Excellent,84.6,80.4
BCA,General,4,7.29,93,7,5,5,7,54,69,1,4,4,7,74,20,66,91,80,42,62,2,100,44,Entrepreneurship,Business Analyst,100.0,Excellent,80.2,76.2
BCA,General,4,8.29,84,3,0,8,11,96,90,3,2,3,3,94,6,92,56,85,51,72,2,76,42,Higher Studies,Business Analyst,75.4,Good,74.8,71.1
BCA,General,2,6.83,43,4,0,4,9,85,85,2,1,3,3,9,77,56,49,63,76,88,1,91,52,Entrepreneurship,ML Engineer,71.3,Good,56.7,53.9
BCA,General,3,8.11,53,4,1,8,8,85,73,2,4,4,9,52,29,32,57,23,76,62,0,99,55,Entrepreneurship,Software Engineer,92.2,Excellent,52.6,50.0
Law,Criminal,1,7.75,81,2,0,5,9,99,75,0,2,2,7,41,21,68,35,58,94,90,2,70,80,Entrepreneurship,Software Engineer,91.6,Excellent,71.5,67.9
B.Com,Hons,1,5.61,81,1,1,5,7,68,78,3,6,3,6,7,13,35,98,79,98,47,1,51,47,Higher Studies,Software Engineer,58.8,Average,69.8,66.3
B.Tech,AI&DS,4,8.9,49,3,0,4,7,69,97,3,7,3,0,74,54,39,57,68,58,43,1,94,67,Government Exam,Data Analyst,91.6,Excellent,74.4,70.7
BCA,General,4,5.55,98,4,0,7,7,71,71,2,7,1,6,83,88,58,72,24,59,50,0,87,63,Entrepreneurship,ML Engineer,71.6,Good,66.2,62.9
BBA,HR,2,6.76,83,4,3,8,4,80,60,3,1,2,9,23,66,58,27,85,75,68,1,87,77,Entrepreneurship,ML Engineer,75.2,Good,58.5,55.6
BCA,General,4,5.53,73,1,3,8,11,90,90,1,6,1,2,50,4,49,28,64,35,63,2,61,41,Placement,Business Analyst,75.9,Good,69.8,66.3
BBA,HR,1,7.12,65,8,4,6,5,96,98,2,2,4,4,70,68,95,40,79,35,60,0,78,45,Higher Studies,Software Engineer,100.0,Excellent,54.4,51.7
BBA,Marketing,1,5.77,62,2,5,5,7,93,60,2,3,5,7,59,58,41,60,27,81,36,2,91,58,Government Exam,Business Analyst,80.2,Good,66.3,63.0
BCA,General,3,9.43,48,5,2,5,8,53,52,3,2,0,5,20,8,42,88,69,34,100,2,84,57,Government Exam,Business Analyst,82.6,Good,67.8,64.4
Law,Corporate,3,7.29,76,7,4,4,4,52,70,2,3,4,7,52,47,68,38,55,70,30,1,44,77,Government Exam,ML Engineer,100.0,Excellent,58.6,55.7
BBA,HR,1,7.48,47,6,0,4,5,86,60,3,6,2,4,5,36,68,99,89,49,51,0,95,63,Higher Studies,Software Engineer,85.6,Excellent,70.0,66.5
BBA,Marketing,1,7.0,92,7,4,4,7,74,57,3,7,5,9,30,67,74,37,60,49,92,1,90,78,Higher Studies,Software Engineer,100.0,Excellent,77.5,73.6
BCA,General,2,8.2,53,3,3,6,2,98,80,3,3,4,8,11,19,70,95,29,68,91,1,59,59,Entrepreneurship,ML Engineer,98.0,Excellent,63.1,59.9
BBA,Marketing,2,8.87,46,4,5,7,8,86,59,1,5,2,5,100,84,72,99,55,59,75,2,98,63,Entrepreneurship,ML Engineer,100.0,Excellent,87.5,83.1
BBA,Finance,1,8.29,46,6,0,4,2,53,55,3,2,5,8,12,49,91,24,87,77,86,2,55,95,Entrepreneurship,Data Analyst,87.3,Excellent,73.7,70.0
BCA,General,4,8.72,48,6,0,4,11,88,66,3,6,1,3,48,23,32,86,33,89,74,1,49,94,Government Exam,Business Analyst,86.3,Excellent,71.0,67.4
BCA,General,3,9.4,42,5,4,4,10,56,87,0,7,3,1,30,70,38,90,95,52,42,2,51,98,Government Exam,Business Analyst,100.0,Excellent,84.3,80.1
B.Tech,ECE,1,9.21,53,6,5,6,11,56,56,0,6,4,7,8,48,73,51,36,89,97,1,45,41,Entrepreneurship,Software Engineer,100.0,Excellent,67.6,64.2
Law,Criminal,4,8.4,56,1,1,8,10,98,81,1,3,4,4,26,7,63,97,40,79,66,0,62,75,Entrepreneurship,ML Engineer,91.9,Excellent,57.4,54.5
Law,Criminal,1,6.42,89,2,2,7,10,74,62,1,5,5,1,52,74,48,67,96,42,43,2,97,55,Government Exam,Software Engineer,82.7,Good,78.2,74.3
BBA,HR,3,8.24,83,3,5,8,5,64,55,3,1,3,5,80,72,47,52,73,67,66,2,64,74,Entrepreneurship,ML Engineer,86.9,Excellent,65.7,62.4
Law,Criminal,3,7.68,61,1,4,5,3,56,52,0,3,4,2,50,5,75,88,32,68,43,1,100,46,Government Exam,Software Engineer,100.0,Excellent,65.4,62.1
BBA,Finance,2,8.58,85,2,4,5,8,96,76,1,0,4,0,71,39,70,91,67,97,95,1,60,99,Higher Studies,Software Engineer,100.0,Excellent,67.2,63.8
B.Tech,IT,2,9.08,65,1,2,4,5,53,94,2,1,5,5,26,80,78,21,64,48,95,2,58,69,Government Exam,Software Engineer,92.9,Excellent,62.7,59.6
BCA,General,2,8.69,97,4,0,8,6,83,91,2,6,0,7,39,53,81,73,28,81,62,0,92,74,Government Exam,Software Engineer,99.5,Excellent,69.0,65.6
BCA,General,2,9.14,67,4,0,6,2,94,75,3,7,5,0,61,76,72,61,74,70,31,2,73,78,Entrepreneurship,Software Engineer,100.0,Excellent,86.9,82.6
BCA,General,3,5.77,84,5,1,7,11,93,53,0,7,5,2,57,16,39,54,69,56,82,1,100,82,Higher Studies,Data Analyst,95.3,Excellent,77.6,73.7
Law,Corporate,4,5.64,53,1,4,8,7,91,86,2,5,5,5,14,50,67,80,39,52,84,0,79,55,Entrepreneurship,Business Analyst,80.3,Good,60.2,57.2
B.Tech,IT,4,6.61,48,7,2,8,8,68,70,0,7,0,9,38,1,67,79,59,48,74,0,59,55,Placement,Business Analyst,100.0,Excellent,66.4,63.1
Law,Criminal,4,9.37,90,6,4,7,4,96,77,1,1,3,2,69,29,76,68,20,64,66,0,80,63,Placement,Business Analyst,100.0,Excellent,50.0,47.5
Law,Criminal,1,9.04,65,4,3,8,11,98,67,0,7,1,6,95,31,36,42,96,34,56,1,42,53,Higher Studies,ML Engineer,100.0,Excellent,68.5,65.1
B.Tech,ECE,2,8.44,41,8,4,8,3,87,81,3,1,4,5,7,49,41,87,96,34,81,2,46,55,Entrepreneurship,ML Engineer,100.0,Excellent,61.5,58.4
B.Tech,IT,2,8.51,50,2,4,7,11,76,88,0,6,5,8,34,99,81,54,83,35,76,2,42,71,Entrepreneurship,Data Analyst,100.0,Excellent,80.2,76.2
B.Tech,IT,3,8.62,56,8,3,6,8,54,82,2,0,4,5,62,70,62,33,54,70,87,0,82,91,Government Exam,Data Analyst,100.0,Excellent,49.2,46.7
B.Tech,AI&DS,3,9.55,73,8,3,7,2,62,75,0,0,1,6,30,15,53,41,84,70,36,2,83,46,Higher Studies,Data Analyst,100.0,Excellent,58.6,55.7
BCA,General,1,9.08,58,5,2,4,3,95,66,0,0,4,1,89,82,77,49,72,83,42,1,84,64,Higher Studies,Data Analyst,100.0,Excellent,60.1,57.1
B.Com,Hons,1,8.18,78,8,0,4,4,63,78,0,0,1,9,41,78,60,22,80,73,77,2,43,62,Higher Studies,Software Engineer,100.0,Excellent,58.2,55.3
B.Com,General,4,8.36,57,8,1,4,5,79,69,1,5,3,3,87,54,52,94,24,77,57,1,73,41,Entrepreneurship,Data Analyst,100.0,Excellent,67.9,64.5
B.Tech,ECE,3,6.42,52,8,3,4,6,96,79,3,7,3,4,65,56,100,29,88,66,74,0,45,48,Government Exam,Data Analyst,98.7,Excellent,70.0,66.5
B.Com,Hons,2,8.33,44,6,0,5,5,97,99,2,0,1,1,40,77,44,86,79,85,85,0,60,76,Higher Studies,Data Analyst,94.2,Excellent,50.6,48.1
B.Com,Hons,4,7.33,89,3,2,6,11,59,54,2,7,1,9,0,44,67,60,38,62,64,1,83,81,Higher Studies,Data Analyst,78.0,Good,74.0,70.3
B.Tech,CSE,2,6.16,62,1,5,5,4,81,55,0,5,2,9,73,51,57,67,95,64,84,0,81,71,Government Exam,Business Analyst,97.8,Excellent,68.8,65.4
B.Com,General,4,8.97,97,7,4,8,2,50,91,0,5,0,9,86,70,50,69,76,35,66,2,97,82,Government Exam,Software Engineer,100.0,Excellent,82.0,77.9
Law,Criminal,2,7.69,95,8,2,8,8,73,59,1,4,0,6,32,46,56,88,27,75,38,2,91,61,Placement,Data Analyst,100.0,Excellent,73.0,69.4
BBA,HR,1,9.7,63,8,2,7,11,78,55,3,6,5,3,36,32,76,77,93,65,32,2,43,57,Entrepreneurship,ML Engineer,100.0,Excellent,81.3,77.2
BBA,Marketing,4,6.71,68,4,3,4,7,92,59,2,4,4,8,56,97,85,34,37,73,31,1,88,81,Placement,Business Analyst,88.2,Excellent,67.2,63.8
B.Tech,IT,2,7.57,87,7,1,7,3,56,91,3,7,4,7,10,23,43,67,30,36,87,2,51,100,Government Exam,Business Analyst,100.0,Excellent,76.8,73.0
BCA,General,2,7.43,86,6,3,8,3,80,70,2,0,1,9,83,34,50,25,81,36,51,0,90,85,Higher Studies,ML Engineer,94.2,Excellent,45.7,43.4
B.Tech,AI&DS,3,6.02,47,2,4,4,4,66,93,0,5,5,8,89,63,43,23,49,58,53,2,60,62,Placement,Software Engineer,100.0,Excellent,69.1,65.6
BCA,General,4,7.33,65,1,3,6,9,79,53,1,1,1,7,46,84,99,42,24,94,83,2,86,48,Government Exam,Software Engineer,75.7,Good,68.6,65.2
BBA,Marketing,2,6.74,54,7,4,8,9,74,62,1,3,0,4,65,87,57,64,96,89,46,1,73,66,Placement,Business Analyst,94.5,Excellent,68.6,65.2
B.Tech,CSE,3,6.19,96,2,3,7,11,77,59,0,3,5,8,88,100,66,84,75,64,87,0,46,73,Placement,ML Engineer,86.7,Excellent,61.4,58.3
Law,Criminal,2,6.71,40,5,5,7,11,85,65,0,7,5,4,3,79,96,75,55,86,87,2,90,48,Entrepreneurship,Software Engineer,100.0,Excellent,90.4,85.9
B.Com,General,4,6.5,67,4,1,8,11,56,68,0,4,4,7,82,59,62,82,46,58,50,0,98,60,Government Exam,Business Analyst,86.4,Excellent,61.6,58.5
BCA,General,1,8.66,88,4,5,5,11,84,55,3,0,0,3,76,80,41,34,51,67,92,1,79,56,Higher Studies,ML Engineer,81.0,Good,50.8,48.3
B.Com,Hons,4,5.63,86,5,0,6,9,69,75,0,2,3,4,82,28,41,23,33,41,92,1,89,44,Placement,Software Engineer,80.9,Good,52.0,49.4
B.Com,Hons,4,8.16,85,2,1,8,8,63,58,3,3,0,3,76,17,80,96,60,87,73,2,85,53,Placement,Software Engineer,66.7,Average,81.5,77.4
B.Tech,AI&DS,2,8.77,53,7,3,8,3,99,95,0,6,0,1,54,57,64,51,85,35,69,2,79,57,Government Exam,Business Analyst,100.0,Excellent,80.4,76.4
B.Com,Hons,2,7.57,81,1,2,7,2,99,59,1,6,1,3,11,47,41,28,23,65,95,0,60,63,Government Exam,Data Analyst,99.8,Excellent,53.0,50.3
Law,Corporate,4,9.51,73,2,0,4,7,79,89,3,5,4,4,65,10,48,76,30,81,96,2,64,90,Higher Studies,Business Analyst,92.4,Excellent,79.7,75.7
B.Com,Hons,3,8.54,98,1,2,4,9,50,52,1,6,3,5,36,2,88,86,67,56,75,1,96,48,Placement,Business Analyst,92.5,Excellent,79.7,75.7
B.Tech,IT,3,8.72,70,6,5,4,2,87,98,0,5,0,3,22,41,42,58,56,54,53,1,45,70,Higher Studies,Business Analyst,100.0,Excellent,60.8,57.8
Law,Corporate,3,6.35,45,8,1,7,4,90,68,0,3,0,9,54,17,48,59,32,69,99,1,66,60,Government Exam,ML Engineer,100.0,Excellent,60.1,57.1
BBA,HR,2,8.84,88,5,0,4,2,74,84,2,1,1,3,18,15,65,35,92,65,80,1,74,74,Government Exam,Software Engineer,98.3,Excellent,59.2,56.2
B.Com,Hons,2,9.08,44,3,5,8,11,83,95,3,3,5,5,66,40,33,100,61,89,33,1,83,65,Higher Studies,ML Engineer,98.5,Excellent,65.2,61.9
B.Tech,CSE,4,7.05,70,1,3,5,10,57,55,3,4,2,6,87,64,42,29,46,58,60,2,40,56,Entrepreneurship,Software Engineer,60.7,Average,64.0,60.8
BBA,HR,1,6.42,76,4,2,5,8,69,78,3,6,4,6,22,42,35,72,85,32,94,0,56,43,Government Exam,ML Engineer,77.2,Good,58.2,55.3
BBA,HR,2,7.16,54,8,3,5,9,79,68,3,7,4,3,3,42,73,84,66,42,59,2,44,46,Government Exam,Data Analyst,97.5,Excellent,79.0,75.0
BCA,General,4,8.68,54,6,4,4,10,53,99,1,0,4,4,17,90,37,69,95,97,69,2,83,42,Placement,Data Analyst,100.0,Excellent,63.2,60.0
Law,Corporate,4,7.3,91,4,0,5,4,70,93,3,0,0,2,11,30,62,48,31,40,43,0,97,80,Entrepreneurship,Data Analyst,69.4,Average,41.2,39.1
B.Com,General,1,8.67,82,6,2,4,11,76,64,1,7,0,4,34,27,81,37,86,77,73,2,71,70,Placement,Business Analyst,100.0,Excellent,87.8,83.4
B.Tech,AI&DS,3,5.99,44,4,1,8,3,59,87,0,5,0,9,26,50,42,71,45,89,63,0,57,60,Government Exam,ML Engineer,92.5,Excellent,56.8,54.0
BCA,General,4,8.97,67,2,1,8,7,72,70,1,3,5,4,42,26,39,51,98,31,68,1,84,99,Placement,ML Engineer,100.0,Excellent,64.7,61.5
Law,Corporate,4,6.59,72,7,1,7,6,82,93,3,2,2,3,77,8,63,52,46,99,33,1,97,98,Entrepreneurship,Software Engineer,80.6,Good,66.5,63.2
BCA,General,4,6.57,50,2,5,7,5,60,88,1,4,0,5,94,37,56,30,54,42,56,1,80,53,Higher Studies,Data Analyst,90.8,Excellent,61.5,58.4
Law,Corporate,3,8.04,82,2,1,6,7,90,72,3,5,4,4,66,35,87,48,32,64,71,1,74,83,Higher Studies,ML Engineer,83.2,Good,72.4,68.8
Law,Corporate,3,5.8,45,7,2,8,7,68,69,1,3,5,7,68,59,96,39,75,80,40,1,75,66,Higher Studies,ML Engineer,91.2,Excellent,69.1,65.6
B.Com,General,1,5.61,62,6,5,4,4,60,91,2,7,4,1,63,90,73,41,88,85,61,0,81,77,Government Exam,Data Analyst,100.0,Excellent,74.3,70.6
Law,Criminal,2,6.62,79,6,4,6,3,53,99,3,4,1,5,92,56,98,91,62,69,79,2,49,62,Entrepreneurship,Business Analyst,90.7,Excellent,84.0,79.8
BCA,General,3,7.81,41,7,1,8,10,72,51,1,7,2,1,51,46,34,34,100,88,82,0,41,49,Placement,ML Engineer,100.0,Excellent,63.0,59.8
Law,Criminal,2,9.4,54,4,1,4,9,54,94,3,2,3,5,16,89,66,54,78,41,33,0,57,85,Entrepreneurship,Software Engineer,86.1,Excellent,49.4,46.9
B.Com,General,2,9.14,62,1,5,8,5,98,81,0,5,0,3,82,90,100,99,31,45,48,0,74,100,Entrepreneurship,Data Analyst,100.0,Excellent,71.0,67.4
B.Com,Hons,3,7.61,61,6,1,8,7,99,96,1,6,3,0,98,67,85,53,48,82,100,0,82,60,Placement,Business Analyst,100.0,Excellent,72.5,68.9
BCA,General,4,5.66,48,4,4,4,4,54,77,1,4,0,5,32,50,80,39,24,70,62,0,61,89,Entrepreneurship,Data Analyst,85.3,Excellent,56.2,53.4
BBA,Marketing,1,7.8,86,1,5,8,9,67,53,2,5,2,2,71,57,85,96,68,49,99,1,94,42,Entrepreneurship,Data Analyst,86.2,Excellent,79.2,75.2
BBA,Marketing,2,8.53,79,7,5,8,4,66,56,3,4,2,6,51,47,71,75,83,69,84,2,44,87,Higher Studies,Data Analyst,100.0,Excellent,80.7,76.7
Law,Criminal,4,6.96,69,2,0,8,3,52,52,1,4,4,2,100,58,42,70,62,90,38,1,86,50,Placement,ML Engineer,82.2,Good,67.6,64.2
B.Tech,ECE,3,5.98,55,6,5,7,8,92,74,2,6,2,9,34,75,63,96,85,63,91,0,63,52,Placement,Data Analyst,95.5,Excellent,69.3,65.8
Law,Criminal,2,6.7,98,3,1,5,4,98,97,2,5,5,3,19,46,63,69,25,48,91,2,71,48,Higher Studies,Software Engineer,95.2,Excellent,72.0,68.4
BCA,General,2,8.82,85,2,5,8,10,57,58,2,0,5,8,80,14,82,49,34,74,77,0,88,85,Entrepreneurship,Business Analyst,89.6,Excellent,52.4,49.8
BCA,General,2,7.01,86,5,1,4,4,89,72,3,6,3,6,44,93,32,44,37,58,97,1,73,54,Entrepreneurship,Business Analyst,89.0,Excellent,64.3,61.1
BCA,General,4,8.99,91,1,1,8,9,72,72,3,2,3,3,76,77,66,93,68,48,77,1,76,90,Placement,Data Analyst,75.1,Good,68.9,65.5
BCA,General,4,6.87,69,3,5,7,3,72,98,1,5,2,1,67,71,81,90,66,85,56,0,88,41,Higher Studies,ML Engineer,100.0,Excellent,69.2,65.7
BCA,General,4,6.2,84,2,0,7,10,51,75,3,7,3,4,49,91,35,23,21,56,84,2,50,63,Higher Studies,Software Engineer,58.2,Average,69.9,66.4
B.Com,General,2,7.37,48,8,1,8,2,88,89,3,7,5,7,57,94,50,82,24,31,73,0,49,52,Government Exam,Software Engineer,100.0,Excellent,58.9,56.0
BBA,Marketing,2,7.44,40,6,0,6,4,70,67,0,0,0,1,29,1,74,41,56,69,100,2,62,63,Higher Studies,Software Engineer,94.1,Excellent,62.3,59.2
BCA,General,1,5.57,98,3,0,5,3,73,73,3,7,1,8,69,78,34,76,25,94,81,0,90,62,Entrepreneurship,Business Analyst,67.4,Average,67.2,63.8
B.Tech,IT,1,6.0,77,4,5,4,8,87,76,0,1,5,4,1,60,32,73,61,37,86,2,77,89,Placement,Software Engineer,100.0,Excellent,62.0,58.9
B.Tech,AI&DS,4,6.3,47,1,3,4,6,69,94,1,3,4,5,78,39,49,23,70,56,38,0,49,73,Placement,Data Analyst,84.2,Good,48.5,46.1
B.Tech,IT,4,5.99,98,5,3,4,9,99,51,2,5,1,6,33,42,90,84,35,59,37,1,82,42,Higher Studies,Business Analyst,81.3,Good,69.4,65.9
B.Tech,IT,3,6.97,98,4,1,4,3,88,50,0,0,3,8,51,47,64,67,95,54,85,0,46,53,Entrepreneurship,Data Analyst,96.4,Excellent,47.7,45.3
B.Com,Hons,4,9.65,91,8,2,7,9,99,97,1,7,4,6,83,71,61,42,92,78,39,2,87,65,Entrepreneurship,Software Engineer,100.0,Excellent,87.5,83.1
B.Tech,AI&DS,1,7.69,57,3,3,5,8,76,65,0,5,1,3,15,68,48,42,86,85,94,2,92,100,Government Exam,ML Engineer,100.0,Excellent,83.4,79.2
BCA,General,1,8.2,66,2,5,8,6,93,92,3,5,1,4,42,56,44,25,100,94,74,1,52,40,Higher Studies,ML Engineer,96.2,Excellent,65.4,62.1
Law,Corporate,1,7.03,57,1,5,8,3,88,73,1,5,3,2,63,67,86,88,49,60,68,2,62,68,Entrepreneurship,Software Engineer,100.0,Excellent,82.6,78.5
