student_id,degree,branch,year,specialization_track,target_role,sector,goal,cgpa,attendance,backlogs,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,programming_score,dsa_score,sql_score,math_foundation_score,ai_tool_fluency_score,aptitude_score,communication_score,english_proficiency_score,projects_count,hackathons_count,certifications_count,internships_count,open_source_contributions,research_publications_count,cloud_deployment_score,github_activity_score,linkedin_activity_score,portfolio_website_score,interview_practice_score,resume_score,ats_score,academic_score,academic_category,employability_score,placement_probability
11,B.Tech/B.E.,Automobile Engineering,2,Data Engineering,AI Transformation Consultant,Consulting,Freelance/Remote Work,7.32,77.4,0,4.9,2.1,7.5,5.2,73.3,75.0,43.2,52.0,37.6,54.5,24.5,44.9,67.1,68.6,1,0,0,0,3,1,28.9,42.1,26.3,22.4,43.4,21.9,45.9,76.5,Good,43.1,0.1698
12,M.Tech/M.E.,Civil Engineering,4,NLP,AI Ethics Specialist,Research Labs/Academia,Higher Studies/Research,6.38,80.1,0,2.8,3.0,6.2,6.2,59.6,64.2,53.1,51.5,66.3,39.0,40.8,55.6,41.7,44.0,4,1,2,1,2,0,47.2,51.2,30.5,18.5,37.5,31.8,47.3,69.7,Good,40.9,0.0802
13,MCA,Computer Science,4,Generative AI,Conversational AI Engineer,Freelance/Remote-Global,Freelance/Remote Work,6.65,78.9,4,5.7,0.8,5.8,5.3,78.0,60.5,59.9,69.2,44.2,35.4,36.6,53.3,56.8,59.8,0,1,1,2,0,0,47.9,54.3,43.8,12.0,46.7,29.8,50.8,50.7,At-Risk,34.3,0.1056
14,B.Tech/B.E.,Mathematics & Computing,2,Classical ML,Applied Scientist,Core Product Engineering,Government Exams,7.09,72.1,0,7.7,3.5,5.1,4.3,76.6,74.6,76.1,82.3,78.6,45.3,70.6,83.5,70.7,69.2,5,2,1,2,3,1,60.2,84.9,40.5,55.8,62.4,49.4,70.8,78.4,Good,55.8,0.3276
15,PhD,Mathematics & Computing,2,Data Engineering,Conversational AI Engineer,AI/ML Product Companies,Higher Studies/Research,6.2,94.7,3,5.3,4.4,6.1,4.5,62.2,66.7,61.9,33.0,46.5,47.7,53.9,55.2,47.6,59.5,3,0,2,1,0,1,39.2,35.7,52.8,49.1,39.7,32.5,48.7,63.0,Average,39.3,0.4228
16,M.Tech/M.E.,Mass Communication,2,Data Engineering,MLOps Engineer,AI/ML Product Companies,Entrepreneurship/Startup,5.25,82.7,2,2.7,3.1,6.4,5.9,58.8,58.8,49.8,42.6,54.8,25.9,29.5,53.1,72.2,55.5,1,2,3,3,1,0,30.6,42.9,46.9,24.6,59.9,44.4,61.1,52.3,At-Risk,43.9,0.6846
17,B.Tech/B.E.,Computer Science,1,Computer Vision,Conversational AI Engineer,GenAI Startups,Higher Studies/Research,7.7,78.3,0,2.3,1.4,6.6,3.3,73.9,71.5,72.4,65.7,60.7,55.3,37.8,59.3,50.3,63.4,0,0,2,1,0,0,49.6,54.6,44.6,26.7,31.2,31.7,58.3,77.6,Good,49.0,0.7989
18,MCA,Information Technology,4,NLP,AI Product Manager,Consulting,Higher Studies/Research,6.05,71.0,1,4.1,2.0,4.7,3.0,66.8,65.0,61.0,64.1,35.0,57.7,72.8,48.0,56.9,58.7,3,1,4,3,1,2,48.3,68.7,48.0,40.2,48.2,61.3,66.4,58.4,Average,53.4,0.4845
19,BCA,Information Technology,2,Applied Research,AI/ML Engineer,FinTech,Career Switch/Upskilling,7.99,76.6,0,4.0,2.2,6.9,3.5,82.7,77.3,46.6,42.1,61.7,59.3,48.4,64.2,63.9,74.2,1,0,1,1,3,0,20.3,35.3,36.2,29.3,45.6,30.6,39.6,83.5,Excellent,40.3,0.3698
20,BS (Data Science & AI),AI & Data Science,2,Applied Research,Applied Scientist,Research Labs/Academia,Higher Studies/Research,7.39,67.0,1,3.5,3.5,6.6,7.2,60.6,67.5,44.8,54.1,44.6,65.2,62.1,64.9,61.7,64.9,2,1,2,2,3,2,45.3,33.1,42.8,40.0,39.4,37.8,55.0,70.2,Good,49.9,0.5221
21,B.Tech/B.E.,Environmental Engineering,1,Generative AI,MLOps Engineer,Core Product Engineering,Freelance/Remote Work,6.92,100.0,1,7.0,3.4,5.8,4.1,71.0,76.5,35.9,20.3,44.1,52.3,64.1,36.9,36.3,60.2,3,2,5,2,0,1,42.4,39.6,58.6,16.4,65.2,36.3,28.6,80.9,Excellent,48.2,0.6911
22,M.Tech/M.E.,Physics,4,Generative AI,AI Research Scientist,GenAI Startups,Job Placement,6.58,66.0,1,1.2,2.3,5.9,3.3,59.5,56.7,48.9,43.2,48.6,52.5,38.2,56.7,55.7,63.2,0,0,0,0,0,0,46.2,40.2,30.6,26.6,25.1,23.8,50.6,57.8,At-Risk,37.5,0.4441
23,BS (Data Science & AI),Environmental Engineering,1,Data Engineering,Cloud DevOps Engineer,Core Product Engineering,Government Exams,6.73,98.5,0,5.8,2.8,7.1,4.4,84.5,71.7,69.9,48.6,61.2,46.1,57.2,70.1,77.0,74.1,2,1,1,0,1,1,74.0,45.6,63.5,44.3,53.1,38.1,53.0,77.0,Good,46.1,0.14
24,BCA,Electronics & Communication,2,Applied Research,NLP Engineer,GenAI Startups,Career Switch/Upskilling,8.92,96.6,0,6.3,4.3,5.8,5.5,79.1,79.2,81.7,76.7,78.0,69.1,51.3,70.6,67.7,73.5,6,2,3,1,3,1,47.0,58.4,50.8,43.4,76.1,48.8,65.4,77.6,Good,51.7,0.769
25,M.Tech/M.E.,Business Administration,4,MLOps,Applied Scientist,AI/ML Product Companies,Government Exams,7.92,85.9,0,5.9,2.0,7.5,4.9,78.1,82.5,63.3,61.2,76.3,43.1,36.8,54.4,57.2,64.2,0,0,1,3,4,2,40.6,39.5,22.7,30.6,41.0,37.3,37.4,78.1,Good,45.7,0.6574
26,B.Tech/B.E.,Metallurgical Engineering,1,Classical ML,Data Analyst,Analytics/Data Services,Entrepreneurship/Startup,6.26,70.4,2,1.8,4.4,5.4,3.9,61.2,64.8,63.6,51.2,51.0,44.2,43.3,77.3,68.8,74.7,3,1,1,0,0,0,26.0,43.2,60.3,39.7,49.7,35.7,57.8,55.7,At-Risk,45.2,0.4491
27,M.Tech/M.E.,Food Technology,1,MLOps,Data Analyst,Analytics/Data Services,Higher Studies/Research,7.45,95.2,1,4.8,4.1,6.7,4.2,63.8,69.0,44.5,56.3,69.6,41.7,55.4,48.3,71.5,79.0,3,3,2,2,1,0,40.4,48.8,52.3,34.2,59.9,43.9,59.4,83.2,Excellent,56.6,0.5402
28,B.Tech/B.E.,Business Administration,1,Data Engineering,Generative AI Engineer,AI/ML Product Companies,Government Exams,6.21,69.0,2,2.6,2.6,4.6,5.6,71.9,56.8,67.5,56.3,55.4,53.0,34.0,68.2,59.6,59.5,1,0,3,0,2,0,61.0,53.5,46.8,43.2,58.0,34.0,55.2,49.8,At-Risk,45.6,0.6658
29,B.Tech/B.E.,AI & Data Science,1,Computer Vision,AI/ML Engineer,Government/PSU,Entrepreneurship/Startup,8.24,84.9,1,4.4,2.7,6.9,5.4,74.1,68.6,92.6,71.5,60.6,70.5,61.6,64.5,48.3,47.2,5,3,3,1,2,0,52.7,58.4,52.0,20.1,61.3,44.9,68.9,70.8,Average,58.2,0.831
30,MSc,Mathematics & Computing,4,Robotics,AI Transformation Consultant,Core Product Engineering,Entrepreneurship/Startup,6.04,64.5,2,1.4,1.8,5.5,4.6,69.6,57.5,41.0,16.4,56.0,56.3,38.0,56.3,55.5,76.2,1,1,1,0,0,0,36.8,32.5,50.2,23.6,49.3,17.8,45.9,62.4,Average,37.6,0.3614
31,B.Tech/B.E.,Physics,3,Classical ML,AI Research Scientist,Research Labs/Academia,Higher Studies/Research,6.53,72.6,1,3.6,0.9,4.2,3.5,77.2,65.5,51.2,33.4,64.3,46.9,37.3,75.2,64.5,57.6,1,0,2,0,0,0,34.5,60.2,39.1,42.1,42.2,35.0,35.8,60.4,Average,38.6,0.2704
32,B.Tech/B.E.,Statistics,4,Classical ML,AI Solutions Architect,AI/ML Product Companies,Career Switch/Upskilling,6.77,89.2,0,5.5,4.2,6.7,6.1,66.5,74.0,37.5,42.5,47.6,51.1,57.4,51.9,44.4,58.3,3,4,2,2,0,0,37.3,58.2,59.1,36.8,55.5,30.8,37.9,85.0,Excellent,47.6,0.5903
33,M.Tech/M.E.,Physics,3,Data Engineering,Software Engineer Full Stack,Freelance/Remote-Global,Career Switch/Upskilling,7.06,94.4,0,3.4,4.4,7.1,5.1,75.8,61.0,79.7,42.3,66.0,26.2,45.0,65.7,35.6,54.9,5,2,4,1,0,0,56.0,59.1,32.4,27.7,52.2,40.4,38.4,70.5,Good,40.9,0.269
34,B.Tech/B.E.,Electrical Engineering,4,Applied Research,MLOps Engineer,AI/ML Product Companies,Higher Studies/Research,5.9,79.3,2,4.0,3.2,4.7,5.4,69.8,60.3,53.5,32.7,50.2,28.0,24.4,55.2,46.8,55.1,1,0,2,0,0,0,41.5,44.1,58.0,18.7,41.4,31.8,55.9,52.4,At-Risk,33.3,0.5633
35,B.Tech/B.E.,AI & Data Science,2,Applied Research,Applied Scientist,Research Labs/Academia,Entrepreneurship/Startup,6.86,77.3,1,4.1,3.6,4.6,6.9,70.7,73.1,50.2,45.4,59.0,47.1,49.6,65.2,40.1,67.0,3,1,0,1,0,0,29.9,50.3,42.1,44.5,42.5,31.8,38.6,76.0,Good,44.1,0.3017
36,BS (Data Science & AI),Robotics,1,Classical ML,Reinforcement Learning Engineer,GenAI Startups,Entrepreneurship/Startup,6.75,71.4,4,3.4,2.7,7.0,5.9,63.4,64.2,61.0,54.5,55.6,63.8,55.9,68.6,62.9,71.8,5,3,2,1,1,0,44.4,66.7,51.3,73.0,31.8,45.9,39.6,55.0,At-Risk,39.7,0.1159
37,MSc,Robotics,4,Robotics,Data Analyst,Core Product Engineering,Career Switch/Upskilling,7.43,78.1,0,3.1,1.1,8.3,6.0,76.7,67.8,61.8,62.3,66.7,48.2,43.6,58.2,37.7,54.1,4,0,2,0,1,0,61.0,56.9,24.5,35.6,41.9,33.7,56.9,70.8,Average,47.9,0.2381
38,MCA,Mathematics & Computing,2,Computer Vision,Conversational AI Engineer,GenAI Startups,Job Placement,7.69,73.1,0,4.3,1.5,8.7,4.6,80.2,71.1,79.5,79.0,63.4,67.4,57.6,65.2,63.3,69.7,3,0,1,2,3,2,32.0,56.5,50.1,16.4,42.2,44.9,60.2,64.9,Average,47.4,0.5949
39,M.Tech/M.E.,Business Administration,2,Computer Vision,Software Engineer Full Stack,Freelance/Remote-Global,Career Switch/Upskilling,6.0,78.1,0,4.2,2.7,7.0,6.2,72.1,66.2,50.4,66.3,70.6,59.7,49.7,65.3,63.2,73.2,3,1,3,1,0,1,56.5,57.2,48.6,36.0,60.6,37.6,46.7,66.4,Average,50.0,0.1772
40,B.Tech/B.E.,Physics,4,Generative AI,AI/ML Engineer,GenAI Startups,Job Placement,8.02,77.0,1,3.3,6.2,7.2,5.6,75.5,72.6,75.0,60.3,59.7,78.1,65.0,64.8,63.0,68.4,4,4,5,3,0,1,70.6,57.7,61.7,32.8,55.1,48.3,61.5,66.8,Average,58.0,0.9498
41,M.Tech/M.E.,Electronics & Communication,2,Data Engineering,Software Engineer Backend,Autonomous Systems/Robotics,Job Placement,6.03,85.7,5,2.7,6.1,4.1,4.1,74.0,64.3,57.3,43.3,68.6,36.9,84.3,53.7,39.5,52.0,5,4,4,1,2,0,69.3,49.5,69.7,45.1,50.6,44.7,42.7,49.0,At-Risk,38.0,0.1209
42,M.Tech/M.E.,Business Administration,4,Generative AI,Data Analyst,Analytics/Data Services,Career Switch/Upskilling,8.15,89.0,0,6.5,5.8,6.3,4.2,80.4,74.6,79.1,65.2,65.2,62.9,88.2,62.7,60.2,68.4,9,3,5,1,4,2,66.7,69.2,57.4,55.5,70.7,54.3,60.9,82.3,Excellent,57.9,0.5047
43,B.Tech/B.E.,Mass Communication,4,Classical ML,Cloud DevOps Engineer,AI/ML Product Companies,Entrepreneurship/Startup,7.88,75.3,1,3.5,4.4,7.1,3.3,88.5,81.6,78.2,88.9,71.9,65.2,55.4,74.1,76.0,74.6,3,1,2,0,1,1,30.5,65.6,44.2,59.2,49.6,47.4,63.6,76.8,Good,54.4,0.6318
44,M.Tech/M.E.,Robotics,3,Data Engineering,Computer Vision Engineer,Autonomous Systems/Robotics,Entrepreneurship/Startup,7.52,53.7,0,4.5,1.3,6.6,4.9,60.8,65.7,43.5,43.5,65.2,68.2,41.4,64.5,47.6,67.5,1,0,0,0,0,0,34.1,41.8,22.6,21.7,25.9,16.4,27.7,69.0,Average,37.2,0.1777
45,MSc,Business Administration,4,Data Engineering,AI Ethics Specialist,Government/PSU,Government Exams,6.47,72.0,2,3.7,2.6,6.4,4.2,78.9,63.0,47.8,50.3,60.2,50.4,50.3,56.3,73.2,67.5,2,1,2,1,1,0,32.0,45.1,44.3,35.5,65.2,33.2,51.0,66.4,Average,48.0,0.4044
46,MSc,Statistics,2,Generative AI,Software Engineer Backend,Core Product Engineering,Government Exams,7.49,76.5,0,4.3,3.2,6.5,5.8,74.7,70.7,66.2,67.3,63.6,57.3,59.9,61.3,47.8,55.6,5,2,3,2,6,0,41.5,48.7,37.7,25.2,48.1,40.0,60.7,74.3,Good,50.8,0.4173
47,BCA,Robotics,4,Computer Vision,Applied Scientist,FinTech,Higher Studies/Research,5.63,73.0,1,3.0,1.1,6.2,4.2,60.6,59.9,38.7,37.4,53.2,40.9,31.8,51.0,90.4,75.1,2,1,3,2,0,0,29.8,31.3,42.5,17.5,34.2,29.1,39.2,55.1,At-Risk,31.0,0.2056
48,B.Tech/B.E.,Commerce,1,Computer Vision,Data Analyst,Consulting,Higher Studies/Research,6.18,82.8,2,3.8,0.8,5.2,4.1,66.2,71.0,54.1,55.0,67.0,23.6,51.3,44.6,85.1,78.3,3,0,0,0,1,0,48.1,56.2,49.2,35.4,22.6,32.5,54.5,59.4,Average,44.9,0.4545
49,MCA,Information Technology,4,Data Engineering,AI Research Scientist,Research Labs/Academia,Career Switch/Upskilling,5.68,57.0,1,4.2,2.9,7.1,6.6,67.9,48.5,56.2,42.5,48.8,43.2,43.8,43.6,53.7,51.6,6,2,3,2,3,5,61.0,52.5,51.9,39.7,36.9,44.4,74.3,50.5,At-Risk,45.5,0.4486
50,B.Tech/B.E.,Commerce,2,Data Engineering,Applied Scientist,AI/ML Product Companies,Job Placement,7.51,96.0,0,5.3,2.3,7.7,4.7,65.7,73.1,34.7,20.8,37.5,57.8,50.6,64.0,33.6,51.1,1,1,1,0,0,2,37.7,40.7,51.8,3.4,35.6,24.5,59.1,87.1,Excellent,44.1,0.5135
51,PhD,Economics,5,NLP,Conversational AI Engineer,FinTech,Government Exams,7.98,84.5,0,4.7,1.5,7.2,6.0,86.6,73.4,68.6,49.4,63.9,67.0,44.1,69.8,49.8,59.4,4,1,4,2,0,0,31.7,55.9,42.5,11.9,50.0,38.7,71.9,70.5,Good,40.0,0.4576
52,M.Tech/M.E.,Robotics,3,NLP,Data Scientist,Analytics/Data Services,Career Switch/Upskilling,5.28,86.5,1,2.8,1.8,6.2,4.0,52.8,56.4,40.5,18.9,40.9,39.4,32.6,43.8,60.2,73.8,1,1,3,1,0,0,33.7,22.4,40.8,24.4,46.0,23.4,7.8,50.2,At-Risk,26.5,0.0749
53,B.Tech/B.E.,Statistics,2,Applied Research,Data Analyst,Core Product Engineering,Government Exams,6.77,74.8,1,5.7,2.6,6.5,5.2,74.3,73.2,58.2,62.7,63.4,67.5,62.6,61.8,60.0,58.7,5,4,2,0,0,1,51.8,52.7,59.1,42.2,56.1,44.8,73.9,70.4,Good,55.6,0.4536
54,BCA,Robotics,3,Robotics,Robotics Engineer,Autonomous Systems/Robotics,Job Placement,7.61,88.7,0,6.9,2.6,6.7,4.0,84.1,72.5,73.1,64.6,67.8,55.7,47.0,68.4,58.3,56.5,3,1,3,1,1,1,45.0,46.8,38.9,54.6,36.4,44.5,39.9,77.6,Good,45.1,0.1444
55,PhD,Textile Engineering,4,Applied Research,Data Analyst,Analytics/Data Services,Higher Studies/Research,6.84,75.6,0,3.9,3.9,6.5,5.1,77.1,69.1,60.0,78.7,72.8,59.7,62.2,68.6,29.1,49.8,4,1,3,1,3,0,70.5,59.2,40.5,9.0,34.3,47.5,65.9,60.8,Average,52.1,0.4139
56,PhD,Information Technology,3,Robotics,Conversational AI Engineer,AI/ML Product Companies,Higher Studies/Research,4.99,67.7,4,2.2,2.2,6.6,4.5,60.3,66.6,52.2,26.4,46.9,40.7,26.1,44.8,55.0,66.0,2,0,1,1,0,0,28.8,24.0,28.0,34.8,29.7,32.6,32.4,50.8,At-Risk,34.7,0.2051
57,MCA,AI & Data Science,4,Data Engineering,AI Research Scientist,GenAI Startups,Government Exams,8.6,95.7,0,6.6,3.1,7.5,6.0,86.8,89.5,66.9,69.1,79.5,75.7,47.8,73.8,75.1,69.7,6,1,2,2,0,3,65.9,41.6,40.7,34.4,65.3,44.2,78.9,94.2,Excellent,59.8,0.8118
58,M.Tech/M.E.,Chemistry,4,Data Engineering,Software Engineer Backend,Core Product Engineering,Career Switch/Upskilling,7.39,66.0,1,2.8,2.8,6.4,6.7,64.3,69.9,73.9,45.8,57.9,53.1,43.4,59.1,62.2,82.0,2,0,0,2,1,0,43.4,44.3,44.3,62.4,50.0,35.6,58.7,64.1,Average,38.0,0.2348
59,B.Tech/B.E.,Mathematics & Computing,3,Generative AI,Generative AI Engineer,Autonomous Systems/Robotics,Higher Studies/Research,7.16,72.4,3,2.8,0.0,7.9,6.0,74.5,74.2,60.9,50.7,56.3,42.9,60.6,62.1,39.4,57.0,1,2,1,1,2,0,41.1,45.2,34.3,17.6,35.4,38.7,48.6,61.2,Average,35.0,0.5846
60,B.Tech/B.E.,Chemical Engineering,3,Robotics,Software Engineer Backend,Core Product Engineering,Entrepreneurship/Startup,6.8,71.0,0,3.5,1.0,6.1,4.9,67.5,59.0,54.1,50.2,59.4,36.8,43.0,59.2,45.2,59.6,1,2,4,0,3,0,45.5,48.2,30.5,30.1,39.5,34.7,50.4,72.0,Good,40.2,0.1553
61,MCA,Statistics,2,MLOps,Applied Scientist,Research Labs/Academia,Job Placement,6.88,76.8,0,3.4,0.6,5.3,5.8,62.1,81.9,33.9,24.6,52.3,51.1,34.8,53.6,49.9,60.6,0,0,2,0,0,0,24.9,39.7,46.8,37.2,45.4,29.8,34.4,76.2,Good,37.8,0.2505
62,BS (Data Science & AI),Information Technology,3,Robotics,MLOps Engineer,AI/ML Product Companies,Higher Studies/Research,6.28,87.4,1,4.6,4.3,6.6,3.5,74.1,66.1,79.6,56.1,42.6,58.4,77.0,70.7,70.2,54.3,5,1,3,0,1,0,58.2,61.8,49.4,24.2,47.7,38.4,62.5,73.3,Good,53.9,0.6975
63,B.Tech/B.E.,Business Administration,4,Generative AI,AI Trainer RLHF Specialist,GenAI Startups,Higher Studies/Research,9.38,71.8,0,4.4,2.0,4.7,3.9,89.0,86.6,73.6,91.6,51.3,91.3,75.4,76.1,95.5,82.6,7,2,5,2,4,2,56.7,57.6,65.7,62.7,48.0,57.7,59.8,97.6,Excellent,65.9,0.9453
64,B.Tech/B.E.,Statistics,3,MLOps,Analytics Engineer,Analytics/Data Services,Entrepreneurship/Startup,7.78,73.8,0,5.3,2.7,7.5,5.7,90.9,70.4,59.4,57.4,42.9,77.0,49.6,76.3,62.5,55.8,3,2,3,1,0,1,51.0,33.8,32.5,47.5,53.1,33.4,44.3,74.6,Good,50.0,0.3056
65,B.Tech/B.E.,Environmental Engineering,2,Generative AI,Data Analyst,Consulting,Entrepreneurship/Startup,7.44,82.7,0,4.6,3.0,7.1,5.8,87.3,84.1,45.8,43.8,55.1,63.6,42.2,60.4,62.8,66.2,2,2,3,3,1,1,41.5,47.8,52.1,56.6,42.4,45.9,49.9,71.5,Average,51.3,0.6476
66,B.Tech/B.E.,Information Technology,3,NLP,Software Engineer Backend,Freelance/Remote-Global,Career Switch/Upskilling,7.31,92.5,1,6.6,4.2,8.1,3.4,82.0,69.1,98.2,75.4,61.6,50.7,77.6,72.3,47.4,58.0,7,3,2,2,4,1,79.5,77.5,54.8,55.3,57.6,56.2,60.7,68.0,Average,59.9,0.6083
67,BS (Data Science & AI),Physics,4,Applied Research,AI/ML Engineer,AI/ML Product Companies,Job Placement,7.48,81.9,2,6.4,0.9,6.7,4.5,73.5,74.7,50.2,65.9,56.4,55.6,29.7,62.0,54.5,57.9,0,3,1,0,0,0,42.1,46.0,43.6,18.6,40.0,24.3,38.4,67.0,Average,35.7,0.6921
68,B.Tech/B.E.,Automobile Engineering,1,NLP,Prompt Engineer,GenAI Startups,Freelance/Remote Work,7.71,72.7,1,3.6,0.0,5.5,3.8,77.1,67.5,32.5,45.4,34.9,57.2,40.1,54.5,51.9,71.8,0,1,2,0,0,0,36.0,22.9,38.5,18.4,43.2,18.2,43.0,73.0,Average,34.1,0.5462
69,B.Tech/B.E.,Environmental Engineering,4,Generative AI,Data Analyst,Consulting,Job Placement,4.86,83.3,2,3.6,1.0,7.1,6.1,50.7,59.8,21.5,21.1,43.5,24.8,23.1,27.9,56.1,68.8,0,1,1,0,0,0,24.6,17.0,52.6,9.3,25.6,17.7,11.7,57.3,At-Risk,33.5,0.1142
70,MSc,Civil Engineering,1,NLP,AI/ML Engineer,AI/ML Product Companies,Entrepreneurship/Startup,6.48,58.8,3,1.7,4.0,5.0,7.0,63.3,58.6,48.3,49.4,40.7,69.2,48.0,67.4,62.4,65.6,3,2,2,3,2,1,72.2,49.3,54.8,42.6,24.4,39.6,37.8,57.2,At-Risk,42.6,0.7062
71,B.Tech/B.E.,Commerce,1,Classical ML,Data Analyst,Analytics/Data Services,Career Switch/Upskilling,6.69,72.6,0,3.2,0.0,6.1,5.1,69.7,67.8,64.1,47.9,45.9,45.3,44.6,74.5,52.1,46.1,2,0,2,1,0,0,47.3,55.8,29.2,23.0,14.9,30.9,38.7,63.5,Average,40.2,0.2457
72,B.Tech/B.E.,Chemistry,4,Data Engineering,Data Analyst,Consulting,Freelance/Remote Work,8.43,92.1,1,5.6,3.8,7.0,4.8,96.6,80.9,65.7,66.1,63.4,72.7,56.6,65.3,60.6,61.6,4,1,4,2,1,2,34.2,53.5,59.8,55.8,59.0,53.7,42.9,76.5,Good,55.8,0.7789
73,BCA,Statistics,3,MLOps,AI Product Manager,HealthTech,Job Placement,7.07,77.0,2,5.8,6.3,7.2,3.0,76.6,65.1,65.2,39.9,61.8,38.5,58.8,53.4,52.0,62.9,5,3,3,3,1,0,62.3,52.5,49.4,21.9,62.9,53.6,63.6,72.9,Good,47.8,0.5395
74,M.Tech/M.E.,Aerospace Engineering,3,Applied Research,Data Analyst,Consulting,Freelance/Remote Work,6.17,83.2,0,5.6,1.8,7.1,2.2,70.7,76.0,57.2,43.3,63.6,61.1,69.4,61.7,90.7,82.4,4,2,3,0,0,0,47.5,62.4,55.0,54.9,62.0,40.8,57.0,70.1,Good,56.8,0.6742
75,B.Tech/B.E.,Design,2,NLP,Data Analyst,Consulting,Career Switch/Upskilling,7.72,82.2,0,4.1,3.5,6.0,5.0,77.5,68.0,63.3,83.7,68.2,55.8,40.6,69.2,96.4,81.2,5,1,3,0,3,0,60.0,50.4,52.3,49.9,47.0,44.5,59.0,72.4,Good,59.1,0.7655
76,MSc,Mathematics & Computing,4,Generative AI,Analytics Engineer,FinTech,Job Placement,6.64,81.4,1,7.4,5.3,5.7,5.3,75.3,72.4,88.7,69.9,71.1,37.6,50.1,59.1,61.5,66.5,4,3,5,2,4,0,82.7,60.5,54.5,41.7,58.7,51.8,84.1,78.5,Good,58.9,0.6712
