degree,branch,year,cgpa,attendance,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,certifications_count,github_activity_score,linkedin_activity_score,programming_score,sql_score,dsa_score,communication_score,aptitude_score,internships_count,resume_score,ats_score,goal,target_role,academic_score,academic_category,employability_score,placement_probability,sector
Law,Criminal,4,7.96,86,5.2,2.3,6.1,4.9,95,96,0,6,1,7,68,48,74,51,52,59,55,1,65,79,Higher Studies,Cybersecurity Analyst,80.2,Good,69.0,58.3,Law
BBA,HR,1,7.65,66,3.3,1.4,7.0,9.0,83,89,1,3,2,4,58,37,58,42,46,45,52,2,72,65,Higher Studies,Business Analyst,58.2,Average,50.2,57.5,Management
B.Tech,CSE,3,8.59,83,5.8,4.9,6.6,6.9,100,98,0,9,6,6,92,15,97,63,86,64,60,2,89,100,Government Job,Backend Developer,82.2,Good,98.0,65.1,Tech
BCA,General,1,6.83,70,3.5,0.8,6.9,6.2,81,83,4,2,2,4,74,31,77,42,39,51,55,0,64,61,Government Job,UI/UX Designer,36.7,At Risk,49.5,44.6,Tech
B.Tech,ECE,2,7.86,59,4.7,3.5,6.2,6.5,77,79,1,5,4,3,77,35,58,72,72,51,53,0,62,76,Government Job,Cybersecurity Analyst,57.8,Average,57.4,50.6,Tech
Law,Corporate,2,8.41,100,7.4,5.1,9.0,3.7,100,100,0,8,6,7,70,79,78,60,77,77,87,2,93,83,Freelancing,Data Analyst,84.9,Good,88.4,80.1,Law
BBA,Marketing,2,8.51,82,7.9,2.4,7.4,5.7,100,100,0,5,4,1,61,53,73,51,52,50,71,1,66,60,Government Job,Data Analyst,83.6,Good,61.3,45.7,Management
BBA,Marketing,1,8.08,80,6.3,2.9,7.4,7.0,100,100,0,7,4,6,70,62,92,76,61,69,72,1,81,100,Startup,Data Analyst,80.4,Good,90.5,67.5,Management
B.Tech,IT,3,7.99,87,6.5,4.2,5.0,7.3,100,100,0,7,4,7,73,68,100,66,77,45,54,1,60,82,Higher Studies,DevOps Engineer,80.2,Good,80.9,53.8,Tech
Law,Corporate,2,8.58,77,4.1,2.7,5.9,9.2,94,95,2,6,3,4,94,60,68,62,46,80,86,2,77,74,Startup,Business Analyst,64.2,Average,76.3,52.3,Law
B.Tech,IT,3,8.05,78,5.3,3.8,6.4,2.6,97,89,0,6,4,8,72,60,79,76,56,69,73,1,66,78,Government Job,Frontend Developer,77.8,Good,78.5,59.1,Tech
BBA,HR,1,6.24,66,2.7,1.4,6.7,4.1,77,76,3,4,1,3,51,39,60,45,41,36,47,0,54,78,Placement,Product Manager,36.6,At Risk,33.9,76.7,Management
B.Tech,CSE,4,7.55,70,5.0,2.0,7.1,5.0,96,91,1,3,2,2,28,49,54,49,34,45,63,1,53,73,Research,DevOps Engineer,65.1,Average,48.2,62.1,Tech
B.Tech,IT,1,8.19,80,5.5,3.2,8.2,3.0,100,99,0,5,4,5,77,74,79,75,57,75,64,1,84,82,Placement,Business Analyst,79.8,Good,79.0,72.1,Tech
B.Tech,CSE,1,7.26,62,2.4,3.2,6.3,7.9,80,85,3,6,3,4,59,40,58,74,51,55,58,0,53,79,Placement,AI Engineer,45.0,At Risk,55.2,55.9,Tech
BBA,Marketing,3,6.36,75,4.4,2.1,7.4,5.5,89,81,2,5,2,6,67,46,71,63,40,78,66,1,68,83,Higher Studies,UI/UX Designer,50.3,At Risk,60.9,42.4,Management
B.Tech,CSE,1,8.53,78,6.7,4.3,7.2,6.3,95,95,1,5,4,3,78,42,89,62,68,46,52,1,78,83,Government Job,Software Engineer,76.4,Good,70.0,52.3,Tech
BCA,General,2,6.79,72,1.9,3.7,9.0,6.3,72,76,2,4,5,5,75,57,69,72,58,88,50,1,64,88,Startup,QA Engineer,46.2,At Risk,63.9,71.1,Tech
B.Tech,AI&DS,2,7.89,81,4.5,2.8,7.0,6.9,92,87,3,2,2,5,62,37,46,60,36,74,72,0,47,76,Government Job,UI/UX Designer,58.9,Average,40.9,49.0,Tech
B.Tech,IT,3,7.32,69,4.3,1.8,6.6,6.0,93,87,0,3,3,2,67,17,54,60,55,45,58,0,37,58,Placement,Machine Learning Engineer,67.2,Average,33.6,52.7,Tech
B.Tech,AI&DS,4,8.28,84,3.8,3.7,8.8,6.2,95,88,0,5,4,6,90,48,86,79,56,67,66,1,69,88,Government Job,Cloud Engineer,76.4,Good,79.3,67.1,Tech
B.Tech,ECE,2,6.83,71,3.6,3.9,7.5,5.4,83,81,1,5,5,4,72,68,69,68,48,86,64,2,81,81,Government Job,Frontend Developer,57.0,Average,70.0,73.8,Tech
B.Com,General,3,7.66,67,4.1,0.8,6.7,5.4,90,92,1,4,1,2,46,68,67,34,60,82,64,0,51,71,Freelancing,Data Analyst,63.8,Average,49.7,48.0,Commerce
BBA,Marketing,1,7.83,62,4.1,3.7,7.0,6.3,86,86,0,4,4,3,59,34,71,48,87,86,68,1,71,62,Startup,Product Manager,71.9,Average,65.6,64.2,Management
B.Tech,AI&DS,4,9.1,70,4.5,3.1,6.3,6.7,93,91,2,8,5,5,75,60,86,74,59,53,51,1,86,88,Research,Machine Learning Engineer,66.4,Average,80.2,72.9,Tech
B.Com,General,3,7.41,68,3.9,0.4,7.7,6.9,84,79,1,1,0,1,55,50,43,51,40,61,46,0,53,66,Higher Studies,Product Manager,55.4,Average,31.4,50.7,Commerce
BBA,Finance,4,8.08,67,2.9,3.1,6.0,7.2,89,81,1,5,2,7,61,80,77,76,51,69,80,1,77,95,Research,Data Analyst,61.9,Average,79.1,60.7,Management
BCA,General,1,8.52,78,7.2,4.7,6.9,5.4,100,100,0,6,4,8,88,62,83,74,85,75,67,1,84,100,Placement,Full Stack Developer,81.7,Good,88.3,71.8,Tech
B.Tech,CSE,2,7.75,76,5.2,2.0,5.6,4.5,86,81,0,4,4,2,88,56,87,75,52,62,61,1,68,63,Higher Studies,UI/UX Designer,70.1,Average,65.8,51.4,Tech
B.Tech,ECE,3,8.13,78,5.0,2.5,8.0,5.0,95,84,0,7,3,5,91,53,67,70,77,69,63,1,82,79,Higher Studies,Cloud Engineer,77.0,Good,85.0,68.6,Tech
BCA,General,1,7.36,78,3.9,2.9,8.0,6.4,90,89,1,4,1,5,34,48,69,51,60,54,51,0,64,72,Higher Studies,Backend Developer,62.0,Average,48.9,56.2,Tech
B.Com,General,4,8.52,86,7.2,3.9,8.4,4.5,100,100,0,6,3,5,75,80,90,59,64,79,84,2,84,83,Freelancing,Data Analyst,90.4,Excellent,81.1,68.2,Commerce
B.Tech,CSE,3,8.1,77,5.3,2.9,6.8,5.9,95,93,0,6,4,3,69,88,84,53,74,75,58,0,81,71,Government Job,QA Engineer,79.7,Good,67.7,40.6,Tech
B.Tech,IT,3,7.88,67,4.2,1.9,6.5,4.2,90,86,1,4,2,6,46,60,63,42,33,47,49,0,72,95,Higher Studies,QA Engineer,65.7,Average,65.1,52.6,Tech
B.Com,General,1,7.38,59,4.3,0.8,7.0,6.2,87,80,4,3,2,2,48,59,43,65,45,52,40,0,47,70,Placement,Business Analyst,39.8,At Risk,34.1,34.9,Commerce
B.Com,Hons,3,7.1,46,2.0,0.2,6.7,5.6,83,76,2,2,3,0,50,48,55,39,53,74,72,1,51,61,Placement,Business Analyst,44.9,At Risk,31.2,38.8,Commerce
BBA,HR,3,6.4,76,1.8,1.3,8.1,7.0,76,76,0,1,1,2,78,37,49,46,47,49,30,0,35,49,Higher Studies,Business Analyst,50.9,At Risk,22.2,27.1,Management
B.Tech,AI&DS,1,7.21,60,3.2,0.8,7.8,5.8,84,83,3,4,0,2,51,26,59,51,25,52,72,0,57,59,Placement,Cloud Engineer,44.4,At Risk,35.9,39.6,Tech
B.Tech,AI&DS,1,7.88,57,4.1,1.3,4.9,7.1,89,85,0,1,2,4,65,22,63,72,66,60,52,0,38,62,Research,Machine Learning Engineer,68.9,Average,47.9,56.5,Tech
BCA,General,4,6.95,49,2.2,3.4,6.4,8.6,81,81,2,5,5,3,69,44,84,61,74,55,60,1,70,72,Startup,Frontend Developer,40.6,At Risk,72.3,68.5,Tech
BBA,HR,2,7.94,73,6.2,2.8,6.7,7.4,92,94,1,4,4,3,58,62,66,60,51,65,67,1,72,60,Startup,Product Manager,70.9,Average,70.0,73.5,Management
BCA,General,2,7.82,91,4.6,4.7,6.5,4.9,100,95,0,7,5,6,77,65,97,66,52,70,79,1,74,85,Higher Studies,UI/UX Designer,80.0,Good,85.0,52.6,Tech
BCA,General,2,6.84,89,3.9,3.5,7.0,5.2,87,90,0,4,3,5,53,71,74,64,37,62,52,0,72,78,Placement,Data Engineer,70.2,Average,61.3,47.1,Tech
BBA,HR,3,8.59,67,5.5,0.9,7.0,5.3,92,100,0,3,2,3,58,17,55,79,67,51,58,1,49,65,Government Job,Business Analyst,77.6,Good,53.9,36.1,Management
BBA,HR,1,7.22,79,4.7,0.0,7.3,5.3,87,84,0,0,0,0,58,62,40,53,47,63,65,0,35,46,Higher Studies,Product Manager,65.9,Average,24.7,44.3,Management
B.Tech,IT,1,7.15,65,3.1,1.9,6.2,5.8,88,84,1,3,4,0,59,24,73,48,71,66,79,1,56,80,Freelancing,Software Engineer,58.1,Average,49.1,60.8,Tech
B.Tech,IT,3,6.75,63,3.2,2.1,5.1,7.0,95,83,3,3,3,4,41,62,45,41,57,59,51,1,70,73,Government Job,AI Engineer,41.7,At Risk,47.2,48.5,Tech
B.Tech,AI&DS,4,7.8,84,4.3,1.8,6.8,5.0,82,93,1,5,2,3,65,65,63,39,28,65,64,0,56,70,Placement,AI Engineer,67.8,Average,48.8,44.7,Tech
BCA,General,3,7.57,62,2.6,0.7,6.0,7.1,80,85,4,3,2,3,58,56,72,77,59,49,62,1,50,68,Placement,UI/UX Designer,38.3,At Risk,39.9,50.6,Tech
BCA,General,4,8.29,66,4.6,3.6,7.3,5.2,94,90,0,5,5,4,86,61,88,70,80,71,82,3,90,91,Placement,Full Stack Developer,77.2,Good,85.0,89.4,Tech
B.Tech,IT,2,7.15,80,3.2,3.6,8.4,4.1,87,87,1,4,1,6,58,48,60,59,78,36,43,0,53,79,Placement,DevOps Engineer,60.3,Average,61.5,69.8,Tech
B.Tech,IT,2,8.04,74,4.5,4.9,6.7,6.4,92,92,1,6,3,4,77,57,84,65,76,50,47,1,79,94,Research,Machine Learning Engineer,73.2,Average,79.9,60.1,Tech
B.Com,Hons,2,7.29,79,5.1,1.5,7.1,5.6,86,87,2,1,1,4,48,53,54,42,55,58,93,0,62,53,Research,Business Analyst,57.6,Average,39.1,52.3,Commerce
BCA,General,2,7.86,91,5.7,3.4,7.6,2.5,95,98,0,7,2,5,80,46,69,76,57,59,53,1,82,72,Government Job,Data Engineer,79.9,Good,81.6,63.9,Tech
B.Tech,IT,2,7.76,71,5.5,2.6,8.2,7.1,91,87,0,5,2,3,63,69,66,54,45,54,64,1,58,59,Placement,Data Analyst,73.6,Average,57.2,70.0,Tech
BCA,General,3,6.74,79,5.6,1.0,7.5,3.0,91,89,0,4,3,4,48,89,57,43,39,71,53,1,59,82,Placement,Business Analyst,69.3,Average,62.6,86.6,Tech
Law,Corporate,2,7.49,78,4.8,1.2,6.2,5.5,87,86,0,2,2,3,34,46,50,47,48,70,66,0,45,65,Startup,Data Analyst,73.3,Average,34.8,46.0,Law
Law,Criminal,2,7.44,69,4.1,3.3,7.4,6.7,89,89,0,4,2,5,59,51,69,77,74,55,79,1,68,89,Placement,Cybersecurity Analyst,65.0,Average,68.4,63.7,Law
B.Tech,IT,2,7.56,80,4.2,3.0,5.4,8.6,88,90,1,6,4,4,72,34,83,70,69,68,64,1,72,100,Startup,Machine Learning Engineer,67.7,Average,76.8,40.2,Tech
B.Tech,IT,4,7.65,64,3.7,4.1,5.6,5.9,90,86,1,7,3,7,93,67,74,70,68,58,71,1,82,88,Higher Studies,Business Analyst,64.4,Average,80.1,74.4,Tech
B.Tech,AI&DS,2,6.69,67,5.0,2.2,6.8,5.6,90,81,0,5,1,0,69,65,72,45,53,47,67,0,45,75,Freelancing,Software Engineer,61.8,Average,52.7,29.8,Tech
BBA,HR,3,6.91,66,4.2,1.4,6.8,8.5,77,77,0,3,2,3,51,46,53,40,34,36,47,0,42,82,Startup,Product Manager,55.7,Average,41.5,37.7,Management
BBA,Marketing,2,8.26,68,3.5,3.2,6.6,9.2,93,90,0,7,6,6,74,61,77,84,66,62,51,0,71,88,Freelancing,Data Analyst,77.9,Good,80.0,73.6,Management
Law,Criminal,4,6.94,88,5.9,3.0,7.7,5.1,90,88,0,5,5,6,96,74,81,55,57,91,77,2,86,91,Freelancing,Product Manager,67.1,Average,90.4,55.4,Law
BCA,General,2,8.14,72,5.3,2.1,8.1,8.5,96,95,1,7,3,3,74,51,96,68,65,74,78,1,74,79,Placement,Data Analyst,72.6,Average,76.6,89.6,Tech
BCA,General,1,8.52,66,4.2,3.3,7.6,6.9,98,94,0,8,6,7,80,48,79,76,66,65,67,2,90,96,Startup,Data Engineer,82.1,Good,92.3,72.0,Tech
B.Tech,AI&DS,2,6.69,75,3.5,3.2,7.5,6.5,87,83,2,4,3,7,58,73,66,62,41,72,57,1,72,89,Freelancing,Frontend Developer,46.7,At Risk,68.1,72.8,Tech
B.Tech,IT,2,7.87,74,4.7,1.5,8.3,4.4,90,97,1,2,2,7,48,53,49,46,38,62,80,0,69,86,Government Job,QA Engineer,67.1,Average,47.2,49.1,Tech
B.Tech,AI&DS,2,7.47,69,2.7,3.6,7.1,6.3,81,87,2,6,3,6,71,45,82,83,67,52,65,2,70,87,Freelancing,DevOps Engineer,50.6,At Risk,77.1,74.2,Tech
B.Tech,ECE,2,7.98,60,2.4,1.0,7.9,6.0,82,82,3,0,1,1,56,57,55,59,51,62,56,1,56,53,Higher Studies,Frontend Developer,47.4,At Risk,44.8,41.7,Tech
Law,Criminal,1,6.64,80,4.2,2.6,7.0,5.8,86,79,1,3,3,2,63,49,60,54,73,66,49,0,54,69,Placement,Cybersecurity Analyst,60.1,Average,49.1,45.3,Law
BCA,General,3,7.3,69,4.9,2.5,7.7,4.1,87,90,0,4,2,3,60,72,62,71,68,72,50,1,79,73,Higher Studies,UI/UX Designer,72.8,Average,73.9,38.7,Tech
BBA,Finance,3,6.6,69,4.3,2.0,8.1,5.5,85,76,3,2,2,3,47,69,56,55,50,69,78,0,53,64,Placement,Product Manager,36.4,At Risk,38.7,54.9,Management
BBA,HR,3,6.7,61,3.3,1.1,7.3,6.0,84,77,3,1,0,1,42,36,65,26,39,65,79,1,67,63,Freelancing,Product Manager,37.2,At Risk,32.4,51.7,Management
B.Tech,AI&DS,3,6.34,55,2.4,0.9,7.3,7.6,78,83,3,2,1,1,56,29,49,52,49,37,47,0,41,62,Higher Studies,UI/UX Designer,36.0,At Risk,23.3,33.6,Tech
B.Tech,IT,2,7.08,68,4.0,2.3,6.8,6.3,85,78,3,1,2,0,49,37,59,63,55,58,69,0,35,59,Freelancing,QA Engineer,48.2,At Risk,27.9,35.6,Tech
BBA,Marketing,2,8.14,84,3.7,2.5,7.3,6.7,100,100,0,3,2,2,55,59,65,55,46,59,56,0,37,69,Higher Studies,UI/UX Designer,81.4,Good,46.3,32.7,Management
BCA,General,2,6.98,71,2.3,1.0,5.8,5.9,84,86,1,3,3,1,71,83,50,74,41,83,84,1,61,61,Higher Studies,Data Engineer,53.5,At Risk,53.4,46.3,Tech
Law,Criminal,4,6.81,47,1.3,0.0,7.1,9.3,80,78,2,1,0,2,51,53,32,33,50,69,45,0,45,59,Placement,Cybersecurity Analyst,40.6,At Risk,27.2,38.3,Law
B.Tech,ECE,2,7.95,80,4.0,3.4,6.8,4.4,89,91,0,7,3,7,91,45,77,85,72,36,57,1,64,87,Government Job,Backend Developer,74.6,Average,78.6,67.3,Tech
Law,Criminal,1,8.39,76,6.9,4.8,6.5,5.6,95,98,0,9,6,6,78,51,94,73,92,65,58,2,89,100,Higher Studies,Cybersecurity Analyst,82.5,Good,95.2,81.7,Law
B.Tech,CSE,1,6.71,63,4.2,1.6,5.9,4.0,87,82,2,4,1,3,51,40,46,57,59,62,57,0,55,68,Placement,Frontend Developer,46.1,At Risk,41.9,59.6,Tech
B.Tech,ECE,2,7.68,73,5.1,1.7,6.2,4.6,93,83,0,5,3,5,61,51,73,62,63,48,67,0,67,73,Freelancing,QA Engineer,71.6,Average,73.7,70.3,Tech
B.Com,Hons,3,7.01,54,4.2,2.9,6.4,4.3,89,81,1,4,2,4,47,51,74,42,52,67,65,1,69,66,Higher Studies,Business Analyst,56.2,Average,55.1,57.0,Commerce
BBA,HR,3,6.71,92,5.0,4.0,7.6,2.9,93,92,1,5,3,7,67,54,69,75,48,65,53,1,60,96,Government Job,Data Analyst,64.7,Average,78.4,67.7,Management
B.Tech,IT,3,6.6,55,1.9,2.3,5.7,8.4,79,74,2,4,4,3,51,41,61,69,47,77,64,2,79,82,Freelancing,Software Engineer,40.3,At Risk,59.4,61.3,Tech
B.Com,Hons,3,7.19,64,2.3,1.7,6.2,7.7,91,83,4,1,2,3,43,49,53,56,47,74,69,0,46,68,Higher Studies,Business Analyst,35.8,At Risk,25.1,52.4,Commerce
BBA,HR,1,7.56,74,4.1,3.7,7.6,4.4,92,85,1,4,4,5,99,62,76,58,85,78,61,1,67,79,Startup,Data Analyst,63.5,Average,77.1,55.7,Management
BCA,General,2,8.06,70,4.6,2.9,7.7,4.8,97,89,0,4,2,5,61,27,71,50,63,43,46,0,40,78,Government Job,DevOps Engineer,78.2,Good,48.9,40.2,Tech
B.Tech,IT,2,9.08,88,6.2,2.6,7.3,7.3,100,100,0,6,4,5,49,49,83,67,55,47,68,0,63,73,Research,DevOps Engineer,88.9,Good,64.3,60.6,Tech
B.Tech,ECE,1,7.75,83,5.7,4.0,5.9,4.0,100,88,1,7,3,4,57,61,58,82,81,42,45,0,62,86,Government Job,DevOps Engineer,68.0,Average,66.9,42.6,Tech
B.Tech,AI&DS,3,8.15,89,5.5,3.0,6.7,6.4,100,98,0,6,4,8,74,66,71,82,64,67,77,2,100,98,Placement,AI Engineer,86.0,Good,87.8,74.1,Tech
B.Tech,ECE,3,7.45,71,5.2,3.7,6.5,6.1,89,87,0,5,4,5,76,48,66,79,64,75,52,1,55,77,Placement,DevOps Engineer,71.4,Average,70.0,45.4,Tech
Law,Criminal,1,8.0,77,5.6,2.9,6.2,7.0,93,93,2,5,6,5,49,51,78,66,30,70,72,1,100,77,Placement,Product Manager,70.0,Average,73.2,55.7,Law
BCA,General,2,6.49,68,3.0,2.6,6.7,6.5,77,72,4,2,3,3,51,38,64,65,61,76,59,1,50,56,Placement,Frontend Developer,30.8,At Risk,48.7,88.2,Tech
B.Tech,ECE,1,7.51,65,3.3,2.6,7.2,7.8,85,84,2,5,3,5,65,28,65,84,57,51,56,0,56,73,Higher Studies,Data Engineer,52.4,At Risk,57.1,36.3,Tech
B.Tech,CSE,3,7.51,64,5.1,1.8,6.9,7.3,83,85,3,3,1,2,58,47,63,70,48,58,59,1,64,60,Placement,Frontend Developer,44.3,At Risk,47.2,61.0,Tech
BBA,HR,3,7.87,69,4.9,2.7,7.5,6.5,90,89,1,5,3,3,64,40,79,79,57,45,55,0,68,86,Placement,Data Analyst,69.5,Average,73.5,51.8,Management
B.Tech,IT,1,7.81,78,3.9,1.5,7.4,4.2,88,84,2,3,1,4,66,44,66,63,63,35,52,0,53,77,Placement,Cybersecurity Analyst,64.7,Average,56.0,38.8,Tech
B.Tech,ECE,2,7.18,62,4.4,2.0,6.5,8.6,86,84,2,2,3,3,50,50,59,58,50,50,40,0,45,60,Placement,Software Engineer,49.4,At Risk,32.5,27.1,Tech
BCA,General,2,7.5,78,5.0,2.8,6.7,5.6,86,82,0,5,2,3,65,35,59,49,28,37,50,0,40,72,Freelancing,Backend Developer,67.5,Average,33.7,48.9,Tech
BBA,Marketing,1,7.5,85,5.4,2.9,8.0,5.3,97,84,1,3,3,4,72,45,62,64,47,58,68,0,58,43,Government Job,Data Analyst,69.3,Average,45.0,41.3,Management
B.Tech,CSE,3,9.18,73,7.1,1.9,6.9,8.8,100,100,0,6,3,3,57,36,95,60,71,63,62,1,65,84,Higher Studies,Machine Learning Engineer,85.4,Good,79.6,64.3,Tech
BCA,General,2,7.93,75,3.6,1.6,7.3,5.4,85,81,1,4,2,3,43,53,61,60,68,39,65,0,51,66,Placement,QA Engineer,62.4,Average,48.7,65.2,Tech
B.Tech,AI&DS,4,7.46,86,4.7,3.9,7.0,6.4,87,87,1,6,4,7,83,50,81,100,66,48,67,2,71,87,Startup,Backend Developer,65.2,Average,79.4,53.9,Tech
BBA,HR,4,8.0,68,5.2,1.8,6.3,8.0,92,94,2,6,4,2,66,50,87,65,70,57,66,0,55,74,Placement,Business Analyst,62.5,Average,63.5,30.5,Management
BCA,General,4,7.21,89,4.9,4.8,9.0,6.1,91,97,0,5,6,4,70,46,61,72,69,81,68,1,74,77,Government Job,Cloud Engineer,77.5,Good,81.8,69.8,Tech
B.Tech,ECE,2,7.7,62,5.4,3.2,7.5,5.9,95,91,1,5,7,6,76,32,74,59,54,58,70,1,61,77,Placement,Backend Developer,66.2,Average,68.0,77.2,Tech
B.Tech,CSE,4,8.89,78,5.2,4.2,7.0,7.0,100,97,1,6,5,6,84,35,76,80,69,52,53,2,80,100,Placement,AI Engineer,82.2,Good,85.0,74.7,Tech
B.Tech,CSE,1,8.99,65,5.9,2.9,6.6,3.6,94,97,0,3,3,4,76,81,71,53,47,85,83,1,76,60,Government Job,Software Engineer,81.4,Good,59.6,74.0,Tech
B.Tech,IT,3,8.77,92,6.7,5.6,5.8,6.5,98,100,0,9,4,7,90,53,90,90,70,55,76,2,92,100,Higher Studies,Data Engineer,90.8,Excellent,94.2,89.3,Tech
B.Tech,IT,2,7.49,78,3.8,3.0,7.3,6.7,84,84,0,8,4,4,66,45,83,34,35,46,61,2,76,66,Placement,Full Stack Developer,62.8,Average,81.1,69.8,Tech
B.Tech,IT,4,6.61,48,2.7,1.2,7.6,5.1,78,75,1,4,2,3,81,53,79,52,59,50,52,2,67,74,Placement,UI/UX Designer,41.9,At Risk,63.7,51.5,Tech
BCA,General,1,7.42,66,4.3,3.3,6.9,6.3,93,84,3,5,4,4,75,55,85,75,74,81,71,1,84,89,Startup,Backend Developer,52.3,At Risk,77.4,70.3,Tech
B.Tech,IT,3,8.28,69,5.3,2.0,7.5,6.1,100,94,0,6,3,4,64,67,79,66,74,79,74,2,74,83,Higher Studies,Data Scientist,76.7,Good,81.1,81.2,Tech
B.Tech,ECE,1,7.0,86,3.1,1.6,7.3,8.0,83,82,4,4,0,4,71,53,53,59,59,85,49,1,67,53,Higher Studies,Cybersecurity Analyst,41.7,At Risk,53.9,59.4,Tech
BBA,HR,2,8.36,97,5.7,2.5,6.5,4.0,94,98,0,7,3,6,90,59,87,75,68,68,75,1,82,71,Government Job,Product Manager,85.2,Good,80.7,65.0,Management
B.Tech,AI&DS,3,8.04,85,7.2,3.2,8.0,5.5,98,97,0,2,1,4,65,52,75,79,60,71,67,1,57,85,Higher Studies,DevOps Engineer,85.3,Good,57.4,60.9,Tech
B.Tech,AI&DS,1,6.76,54,4.2,2.3,6.6,8.4,75,78,0,4,2,3,69,60,85,71,66,46,44,0,46,83,Placement,Backend Developer,57.4,Average,54.7,51.1,Tech
BBA,Marketing,3,8.19,80,4.4,3.0,7.7,5.0,93,90,0,4,4,7,75,48,71,63,75,72,81,1,76,83,Government Job,Data Analyst,79.6,Good,78.3,74.8,Management
BCA,General,2,7.09,70,3.3,2.6,8.3,3.7,78,78,1,5,1,4,72,39,59,67,29,69,65,1,75,65,Placement,Frontend Developer,54.4,At Risk,70.0,58.3,Tech
